layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,62914560,1.2075514602353602e-05,1.2074462923313452e-05,1.2074462923313452e-05,1.0516790401506607e-09,1.0516790401506607e-09,8.709186107444904e-05,8.709186107444904e-05,14.8407142162323
1,4,62914560,9.74841706407048e-06,9.746280418484096e-06,9.746280418484096e-06,2.1366455863841777e-09,2.1366455863841777e-09,0.00021917872125713252,0.00021917872125713252,13.224990367889404
6,4,62914560,1.3683765174240154e-05,1.3681495325575573e-05,1.3681495325575573e-05,2.2698486645819025e-09,2.2698486645819025e-09,0.00016587895478175252,0.00016587895478175252,12.941126823425293
7,5,87818240,3.290038464965347e-05,3.285762630103316e-05,3.285762630103316e-05,4.27583486203135e-08,4.27583486203135e-08,0.0012996306601164268,0.0012996306601164268,17.931020975112915
14,5,87818240,3.1084402412964106e-05,3.1074593140662875e-05,3.1074593140662875e-05,9.809272301230393e-09,9.809272301230393e-09,0.0003155689522646034,0.0003155689522646034,17.920812129974365
15,5,87818240,3.0390211542175194e-05,3.0380712801229154e-05,3.0380712801229154e-05,9.49874094603983e-09,9.49874094603983e-09,0.0003125592243034434,0.0003125592243034434,18.232235431671143
16,4,62914560,1.2284830700082238e-05,1.2283719615879819e-05,1.2283719615879819e-05,1.1110842024195425e-09,1.1110842024195425e-09,9.044359092487164e-05,9.044359092487164e-05,13.309714078903198
17,5,87818240,3.0214784012276876e-05,3.0207005666078887e-05,3.0207005666078887e-05,7.778346197988197e-09,7.778346197988197e-09,0.0002574351084167174,0.0002574351084167174,17.981492519378662
18,5,87818240,2.9663165392477495e-05,2.9654038865631793e-05,2.9654038865631793e-05,9.126526845701756e-09,9.126526845701756e-09,0.0003076720479742267,0.0003076720479742267,18.00786828994751
35,4,62914560,1.363365642343221e-05,1.3631252822203047e-05,1.3631252822203047e-05,2.403601229163078e-09,2.403601229163078e-09,0.0001762990906116719,0.0001762990906116719,12.992727756500244
