gguf_tensor,hf_tensor,layer,qtype,bits_per_weight,shape,vectors,vector_dim,chunks,improved_chunks,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
blk.0.attn_k.weight,model.layers.0.self_attn.k_proj.weight,0,IQ3_XXS,3.0625,"[1024, 2560]",327680,8,3,2,2.0576000679284334e-05,2.057369638350792e-05,2.057369638350792e-05,2.3042957764132462e-09,2.3042957764132462e-09,0.00011198948776927205,0.00011198948776927205,2.1319057941436768
blk.0.attn_q.weight,model.layers.0.self_attn.q_proj.weight,0,IQ3_XXS,3.0625,"[4096, 2560]",1310720,8,10,5,1.8495927270123504e-05,1.8492164508643326e-05,1.8492164508643326e-05,3.762761480177669e-09,3.762761480177669e-09,0.00020343729866713215,0.00020343729866713215,2.180360794067383
blk.0.ffn_gate.weight,model.layers.0.mlp.gate_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,3,1.1016382833124801e-05,1.1015718040365946e-05,1.1015718040365946e-05,6.647927588551494e-10,6.647927588551494e-10,6.0345829382055044e-05,6.0345829382055044e-05,5.236414670944214
blk.0.ffn_up.weight,model.layers.0.mlp.up_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,1,9.536526713897107e-06,9.536361511364752e-06,9.536361511364752e-06,1.6520253235533032e-10,1.6520253235533032e-10,1.7323134230263193e-05,1.7323134230263193e-05,5.292032957077026
blk.1.attn_k.weight,model.layers.1.self_attn.k_proj.weight,1,IQ3_XXS,3.0625,"[1024, 2560]",327680,8,3,3,1.8769551388686523e-05,1.876133101177402e-05,1.876133101177402e-05,8.22037691250308e-09,8.22037691250308e-09,0.0004379634197042114,0.0004379634197042114,0.5061459541320801
blk.1.attn_q.weight,model.layers.1.self_attn.q_proj.weight,1,IQ3_XXS,3.0625,"[4096, 2560]",1310720,8,10,7,1.7223702343471814e-05,1.7213540559168905e-05,1.7213540559168905e-05,1.0161784302908927e-08,1.0161784302908927e-08,0.0005899883834650963,0.0005899883834650963,1.9689791202545166
blk.1.ffn_gate.weight,model.layers.1.mlp.gate_proj.weight,1,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,5,1.0586459872061631e-05,1.058620597943541e-05,1.058620597943541e-05,2.538926262206186e-10,2.538926262206186e-10,2.398276943274097e-05,2.398276943274097e-05,5.293513774871826
blk.1.ffn_up.weight,model.layers.1.mlp.up_proj.weight,1,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,0,4.813292630582342e-06,4.813292630582342e-06,4.813292630582342e-06,0.0,0.0,0.0,0.0,5.4563515186309814
blk.6.attn_k.weight,model.layers.6.self_attn.k_proj.weight,6,IQ3_XXS,3.0625,"[1024, 2560]",327680,8,3,3,1.8646409444045275e-05,1.8634204025147483e-05,1.8634204025147483e-05,1.2205418897792697e-08,1.2205418897792697e-08,0.0006545720737506648,0.0006545720737506648,0.5065734386444092
blk.6.attn_q.weight,model.layers.6.self_attn.q_proj.weight,6,IQ3_XXS,3.0625,"[4096, 2560]",1310720,8,10,9,1.9594475816120394e-05,1.958971388376085e-05,1.958971388376085e-05,4.761932359543375e-09,4.761932359543375e-09,0.00024302422806461244,0.00024302422806461244,1.9783883094787598
blk.6.ffn_gate.weight,model.layers.6.mlp.gate_proj.weight,6,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,10,1.4799646420502348e-05,1.4797552572226298e-05,1.4797552572226298e-05,2.0938482760498076e-09,2.0938482760498076e-09,0.00014147961488790323,0.00014147961488790323,5.226437330245972
