layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,62914560,1.2075514602353602e-05,1.2073592536883855e-05,1.2073592536883855e-05,1.922065469747353e-09,1.922065469747353e-09,0.00015917048117955395,0.00015917048117955395,5.746188640594482
1,4,62914560,9.74841706407048e-06,9.744789347395273e-06,9.744789347395273e-06,3.6277166752068213e-09,3.6277166752068213e-09,0.00037213392198590014,0.00037213392198590014,4.051105499267578
6,4,62914560,1.3683765174240154e-05,1.3678553959077059e-05,1.3678553959077059e-05,5.211215163095445e-09,5.211215163095445e-09,0.00038083196377161,0.00038083196377161,4.031018495559692
7,5,87818240,3.290038464965347e-05,3.28432100552652e-05,3.28432100552652e-05,5.7174594388273144e-08,5.7174594388273144e-08,0.001737809299104208,0.001737809299104208,5.400300025939941
14,5,87818240,3.1084402412964106e-05,3.10681621497801e-05,3.10681621497801e-05,1.62402631840035e-08,1.62402631840035e-08,0.0005224569856047904,0.0005224569856047904,5.281682729721069
15,5,87818240,3.0390211542175194e-05,3.0372263025318675e-05,3.0372263025318675e-05,1.7948516856519387e-08,1.7948516856519387e-08,0.0005906019058673098,0.0005906019058673098,5.43432092666626
16,4,62914560,1.2284830700082238e-05,1.2282268047177543e-05,1.2282268047177543e-05,2.562652904694956e-09,2.562652904694956e-09,0.00020860302980632862,0.00020860302980632862,3.9897654056549072
17,5,87818240,3.0214784012276876e-05,3.0199882899951398e-05,3.0199882899951398e-05,1.4901112325477775e-08,1.4901112325477775e-08,0.0004931728891202119,0.0004931728891202119,5.487738132476807
18,5,87818240,2.9663165392477495e-05,2.9647161956284015e-05,2.9647161956284015e-05,1.6003436193479803e-08,1.6003436193479803e-08,0.0005395053421216548,0.0005395053421216548,5.417371511459351
35,4,62914560,1.363365642343221e-05,1.3629263715605096e-05,1.3629263715605096e-05,4.392707827113513e-09,4.392707827113513e-09,0.00032219587252937894,0.00032219587252937894,4.039519548416138
