gguf_tensor,hf_tensor,layer,qtype,bits_per_weight,shape,vectors,vector_dim,chunks,improved_chunks,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
blk.0.attn_k.weight,model.layers.0.self_attn.k_proj.weight,0,IQ3_XXS,3.0625,"[1024, 2560]",327680,8,3,2,2.0576000679284334e-05,2.0573251094901935e-05,2.0573251094901935e-05,2.749584382399239e-09,2.749584382399239e-09,0.00013363065180919666,0.00013363065180919666,1.8992948532104492
blk.0.attn_q.weight,model.layers.0.self_attn.q_proj.weight,0,IQ3_XXS,3.0625,"[4096, 2560]",1310720,8,10,6,1.8495927270123504e-05,1.8488700152374805e-05,1.8488700152374805e-05,7.227117748698897e-09,7.227117748698897e-09,0.00039074103412878737,0.00039074103412878737,0.5915701389312744
blk.0.ffn_gate.weight,model.layers.0.mlp.gate_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,3,1.1016382833124801e-05,1.1015246022189355e-05,1.1015246022189355e-05,1.1368109354464493e-09,1.1368109354464493e-09,0.0001031927587000889,0.0001031927587000889,1.640026569366455
blk.0.ffn_up.weight,model.layers.0.mlp.up_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,3,9.536526713897107e-06,9.536140207369738e-06,9.536140207369738e-06,3.86506527368639e-10,3.86506527368639e-10,4.052906670993772e-05,4.052906670993772e-05,1.6152970790863037
blk.1.attn_k.weight,model.layers.1.self_attn.k_proj.weight,1,IQ3_XXS,3.0625,"[1024, 2560]",327680,8,3,3,1.8769551388686523e-05,1.8761738465400414e-05,1.8761738465400414e-05,7.812923286108807e-09,7.812923286108807e-09,0.0004162551956792159,0.0004162551956792159,0.16241693496704102
blk.1.attn_q.weight,model.layers.1.self_attn.q_proj.weight,1,IQ3_XXS,3.0625,"[4096, 2560]",1310720,8,10,10,1.7223702343471814e-05,1.7205506537720794e-05,1.7205506537720794e-05,1.819580575102009e-08,1.819580575102009e-08,0.0010564398634023493,0.0010564398634023493,0.5782296657562256
blk.1.ffn_gate.weight,model.layers.1.mlp.gate_proj.weight,1,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,3,1.0586459872061631e-05,1.0585778919017972e-05,1.0585778919017972e-05,6.809530436591415e-10,6.809530436591415e-10,6.432301750429543e-05,6.432301750429543e-05,1.6199390888214111
blk.1.ffn_up.weight,model.layers.1.mlp.up_proj.weight,1,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,0,4.813292630582342e-06,4.813292630582342e-06,4.813292630582342e-06,0.0,0.0,0.0,0.0,1.6905198097229004
blk.6.attn_k.weight,model.layers.6.self_attn.k_proj.weight,6,IQ3_XXS,3.0625,"[1024, 2560]",327680,8,3,3,1.8646409444045275e-05,1.862975441326853e-05,1.862975441326853e-05,1.6655030776745216e-08,1.6655030776745216e-08,0.0008932031030812742,0.0008932031030812742,0.16717958450317383
blk.6.attn_q.weight,model.layers.6.self_attn.q_proj.weight,6,IQ3_XXS,3.0625,"[4096, 2560]",1310720,8,10,8,1.9594475816120394e-05,1.957499607669888e-05,1.957499607669888e-05,1.9479739421512254e-08,1.9479739421512254e-08,0.000994144451952435,0.000994144451952435,0.603485107421875
blk.6.ffn_gate.weight,model.layers.6.mlp.gate_proj.weight,6,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,14,1.4799646420502348e-05,1.4796686043968964e-05,1.4796686043968964e-05,2.960376533384332e-09,2.960376533384332e-09,0.0002000302202681844,0.0002000302202681844,1.616614580154419
blk.6.ffn_up.weight,model.layers.6.mlp.up_proj.weight,6,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,3,9.556780050364691e-06,9.556530408429497e-06,9.556530408429497e-06,2.4964193519424105e-10,2.4964193519424105e-10,2.612197140444962e-05,2.612197140444962e-05,1.6437392234802246
blk.7.attn_k.weight,model.layers.7.self_attn.k_proj.weight,7,IQ2_XS,2.3125,"[1024, 2560]",327680,8,3,3,5.071697160019539e-05,5.0441284838598224e-05,5.0441284838598224e-05,2.756867615971687e-07,2.756867615971687e-07,0.005435789103703239,0.005435789103703239,0.1413590908050537
blk.7.attn_q.weight,model.layers.7.self_attn.q_proj.weight,7,IQ2_XS,2.3125,"[4096, 2560]",1310720,8,10,10,4.974377152393572e-05,4.9609427514951675e-05,4.9609427514951675e-05,1.3434400898404826e-07,1.3434400898404826e-07,0.002700720208145146,0.002700720208145146,0.5194084644317627
blk.7.ffn_down.weight,model.layers.7.mlp.down_proj.weight,7,IQ3_S,3.44,"[2560, 9728]",3112960,8,24,2,9.677101192401574e-06,9.676766919590974e-06,9.676766919590974e-06,3.3427281059998453e-10,3.3427281059998453e-10,3.4542659413591163e-05,3.4542659413591163e-05,1.644413709640503
blk.7.ffn_gate.weight,model.layers.7.mlp.gate_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",3112960,8,24,23,4.809013465235598e-05,4.797910997264185e-05,4.797910997264185e-05,1.110246797141298e-07,1.110246797141298e-07,0.0023086789113136866,0.0023086789113136866,1.579721450805664
blk.7.ffn_up.weight,model.layers.7.mlp.up_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",3112960,8,24,7,3.196653553076382e-05,3.196186436597552e-05,3.196186436597552e-05,4.6711647883057594e-09,4.6711647883057594e-09,0.00014612671378824718,0.00014612671378824718,1.515397310256958
blk.14.attn_k.weight,model.layers.14.self_attn.k_proj.weight,14,IQ2_XS,2.3125,"[1024, 2560]",327680,8,3,3,5.000024393666536e-05,4.992715257685631e-05,4.992715257685631e-05,7.309135980904509e-08,7.309135980904509e-08,0.0014618200643506647,0.0014618200643506647,0.16482758522033691
blk.14.attn_q.weight,model.layers.14.self_attn.q_proj.weight,14,IQ2_XS,2.3125,"[4096, 2560]",1310720,8,10,10,5.024407582823187e-05,5.017668445361778e-05,5.017668445361778e-05,6.739137461409108e-08,6.739137461409108e-08,0.0013412800116869546,0.0013412800116869546,0.5002706050872803
blk.14.ffn_down.weight,model.layers.14.mlp.down_proj.weight,14,IQ3_S,3.44,"[2560, 9728]",3112960,8,24,1,1.0405812903818992e-05,1.0405376805896307e-05,1.0405376805896307e-05,4.3609792268484713e-10,4.3609792268484713e-10,4.19090682021389e-05,4.19090682021389e-05,1.5829017162322998
blk.14.ffn_gate.weight,model.layers.14.mlp.gate_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",3112960,8,24,18,3.7451252252427176e-05,3.743537006237985e-05,3.743537006237985e-05,1.5882190047323847e-08,1.5882190047323847e-08,0.00042407634170081826,0.00042407634170081826,1.525890827178955
blk.14.ffn_up.weight,model.layers.14.mlp.up_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",3112960,8,24,17,3.533776995793328e-05,3.533288909238763e-05,3.533288909238763e-05,4.880865545647708e-09,4.880865545647708e-09,0.00013812036106007763,0.00013812036106007763,1.5077919960021973
blk.15.attn_k.weight,model.layers.15.self_attn.k_proj.weight,15,IQ2_XS,2.3125,"[1024, 2560]",327680,8,3,3,5.010935783502646e-05,5.000129385734908e-05,5.000129385734908e-05,1.0806397767737643e-07,1.0806397767737643e-07,0.002156562812741529,0.002156562812741529,0.1503312587738037
blk.15.attn_q.weight,model.layers.15.self_attn.q_proj.weight,15,IQ2_XS,2.3125,"[4096, 2560]",1310720,8,10,10,5.205719207879156e-05,5.1992050794069654e-05,5.1992050794069654e-05,6.514128472190486e-08,6.514128472190486e-08,0.001251340729698017,0.001251340729698017,0.5107359886169434
blk.15.ffn_down.weight,model.layers.15.mlp.down_proj.weight,15,IQ3_S,3.44,"[2560, 9728]",3112960,8,24,2,1.0295365868124033e-05,1.0294974651371472e-05,1.0294974651371472e-05,3.9121675256117495e-10,3.9121675256117495e-10,3.799930547125475e-05,3.799930547125475e-05,1.6748762130737305
blk.15.ffn_gate.weight,model.layers.15.mlp.gate_proj.weight,15,IQ2_S,2.5,"[9728, 2560]",3112960,8,24,18,3.5064022200745774e-05,3.50458264093552e-05,3.50458264093552e-05,1.819579139057258e-08,1.819579139057258e-08,0.0005189305233267156,0.0005189305233267156,1.5320990085601807
blk.15.ffn_up.weight,model.layers.15.mlp.up_proj.weight,15,IQ2_S,2.5,"[9728, 2560]",3112960,8,24,14,3.46126077745698e-05,3.4606705709225744e-05,3.4606705709225744e-05,5.9020653440567295e-09,5.9020653440567295e-09,0.00017051778885013774,0.00017051778885013774,1.5662784576416016
blk.16.attn_k.weight,model.layers.16.self_attn.k_proj.weight,16,IQ3_XXS,3.0625,"[1024, 2560]",327680,8,3,3,1.7642134116613307e-05,1.7639491125009955e-05,1.7639491125009955e-05,2.6429916033521295e-09,2.6429916033521295e-09,0.00014981133154765374,0.00014981133154765374,0.16125130653381348
blk.16.attn_q.weight,model.layers.16.self_attn.q_proj.weight,16,IQ3_XXS,3.0625,"[4096, 2560]",1310720,8,10,9,1.8396731138636824e-05,1.8391053708910475e-05,1.8391053708910475e-05,5.67742972634936e-09,5.67742972634936e-09,0.0003086107897954555,0.0003086107897954555,0.59918212890625
blk.16.ffn_gate.weight,model.layers.16.mlp.gate_proj.weight,16,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,4,1.1117500769997654e-05,1.1116223111840602e-05,1.1116223111840602e-05,1.2776581570512872e-09,1.2776581570512872e-09,0.00011492314536188306,0.00011492314536188306,1.6214356422424316
blk.16.ffn_up.weight,model.layers.16.mlp.up_proj.weight,16,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,2,1.0314802191140571e-05,1.031227448517089e-05,1.031227448517089e-05,2.52770596968035e-09,2.52770596968035e-09,0.0002450561748873292,0.0002450561748873292,1.607896327972412
blk.17.attn_k.weight,model.layers.17.self_attn.k_proj.weight,17,IQ2_XS,2.3125,"[1024, 2560]",327680,8,3,3,4.426324085216038e-05,4.415844159666449e-05,4.415844159666449e-05,1.0479925549589097e-07,1.0479925549589097e-07,0.0023676362931923903,0.0023676362931923903,0.1605241298675537
blk.17.attn_q.weight,model.layers.17.self_attn.q_proj.weight,17,IQ2_XS,2.3125,"[4096, 2560]",1310720,8,10,10,5.1486093070707284e-05,5.1432790132821535e-05,5.1432790132821535e-05,5.330293788574907e-08,5.330293788574907e-08,0.001035288069198544,0.001035288069198544,0.5027518272399902
blk.17.ffn_down.weight,model.layers.17.mlp.down_proj.weight,17,IQ3_S,3.44,"[2560, 9728]",3112960,8,24,3,1.0050033061385252e-05,1.0049089273946408e-05,1.0049089273946408e-05,9.43787438844362e-10,9.43787438844362e-10,9.390888896382143e-05,9.390888896382143e-05,1.6483800411224365
blk.17.ffn_gate.weight,model.layers.17.mlp.gate_proj.weight,17,IQ2_S,2.5,"[9728, 2560]",3112960,8,24,19,3.579558282294066e-05,3.5780475330906674e-05,3.5780475330906674e-05,1.5107492033983533e-08,1.5107492033983533e-08,0.0004220490586425499,0.0004220490586425499,1.6161367893218994
blk.17.ffn_up.weight,model.layers.17.mlp.up_proj.weight,17,IQ2_S,2.5,"[9728, 2560]",3112960,8,24,14,3.4363610565809435e-05,3.436059066045441e-05,3.436059066045441e-05,3.0199053550265635e-09,3.0199053550265635e-09,8.788090963966579e-05,8.788090963966579e-05,1.5599453449249268
blk.18.attn_k.weight,model.layers.18.self_attn.k_proj.weight,18,IQ2_XS,2.3125,"[1024, 2560]",327680,8,3,3,4.539283545454964e-05,4.5262818457558754e-05,4.5262818457558754e-05,1.3001699699088525e-07,1.3001699699088525e-07,0.0028642625138732966,0.0028642625138732966,0.14131379127502441
blk.18.attn_q.weight,model.layers.18.self_attn.q_proj.weight,18,IQ2_XS,2.3125,"[4096, 2560]",1310720,8,10,10,4.8200787205132656e-05,4.8145090840989727e-05,4.8145090840989727e-05,5.569636414292929e-08,5.569636414292929e-08,0.0011555073552200921,0.0011555073552200921,0.5060982704162598
blk.18.ffn_down.weight,model.layers.18.mlp.down_proj.weight,18,IQ3_S,3.44,"[2560, 9728]",3112960,8,24,3,1.0062277866190446e-05,1.0061909243201003e-05,1.0061909243201003e-05,3.6862298944282334e-10,3.6862298944282334e-10,3.663414927959877e-05,3.663414927959877e-05,1.5976433753967285
blk.18.ffn_gate.weight,model.layers.18.mlp.gate_proj.weight,18,IQ2_S,2.5,"[9728, 2560]",3112960,8,24,17,3.5093669468647264e-05,3.5080245633205205e-05,3.5080245633205205e-05,1.3423835442058778e-08,1.3423835442058778e-08,0.00038251444335428225,0.00038251444335428225,1.5710413455963135
blk.18.ffn_up.weight,model.layers.18.mlp.up_proj.weight,18,IQ2_S,2.5,"[9728, 2560]",3112960,8,24,15,3.4372479651785015e-05,3.436697604085662e-05,3.436697604085662e-05,5.5036109283950765e-09,5.5036109283950765e-09,0.00016011678482757543,0.00016011678482757543,1.6012747287750244
blk.35.attn_k.weight,model.layers.35.self_attn.k_proj.weight,35,IQ3_XXS,3.0625,"[1024, 2560]",327680,8,3,1,1.5979162708390503e-05,1.597848895471543e-05,1.597848895471543e-05,6.737536750740629e-10,6.737536750740629e-10,4.216451683793678e-05,4.216451683793678e-05,0.15451335906982422
blk.35.attn_q.weight,model.layers.35.self_attn.q_proj.weight,35,IQ3_XXS,3.0625,"[4096, 2560]",1310720,8,10,6,1.724387120702886e-05,1.7241699788428376e-05,1.7241699788428376e-05,2.171418600482866e-09,2.171418600482866e-09,0.00012592407901989918,0.00012592407901989918,0.5700011253356934
blk.35.ffn_gate.weight,model.layers.35.mlp.gate_proj.weight,35,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,21,1.2492794581033338e-05,1.2483377175062503e-05,1.2483377175062503e-05,9.417405970835069e-09,9.417405970835069e-09,0.0007538270088209608,0.0007538270088209608,1.638810634613037
blk.35.ffn_up.weight,model.layers.35.mlp.up_proj.weight,35,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,4,1.3007532432215827e-05,1.3006837673999957e-05,1.3006837673999957e-05,6.947582158694067e-10,6.947582158694067e-10,5.341199182011611e-05,5.341199182011611e-05,1.676194429397583
