layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,62914560,1.2075514602353602e-05,1.1986144170350598e-05,1.1986144170350598e-05,8.937043200300426e-08,8.937043200300426e-08,0.007400962604573832,0.007400962604573832,12.823567152023315
1,4,62914560,9.74841706407048e-06,9.63113256731892e-06,9.63113256731892e-06,1.1728449675155985e-07,1.1728449675155985e-07,0.012031132437268473,0.012031132437268473,11.127142429351807
6,4,62914560,1.3683765174240154e-05,1.3658857559069778e-05,1.3658857559069778e-05,2.4907615170376184e-08,2.4907615170376184e-08,0.0018202311171829416,0.0018202311171829416,11.209812879562378
7,5,87818240,3.290038464965347e-05,3.28103953343903e-05,3.28103953343903e-05,8.998931526317343e-08,8.998931526317343e-08,0.0027352055673951297,0.0027352055673951297,13.285847902297974
14,5,87818240,3.1084402412964106e-05,3.106382523651179e-05,3.106382523651179e-05,2.0577176452312698e-08,2.0577176452312698e-08,0.0006619775467753805,0.0006619775467753805,13.279344320297241
15,5,87818240,3.0390211542175194e-05,3.0365313714762818e-05,3.0365313714762818e-05,2.489782741237653e-08,2.489782741237653e-08,0.0008192712767998869,0.0008192712767998869,13.173127889633179
16,4,62914560,1.2284830700082238e-05,1.2273885685469092e-05,1.2273885685469092e-05,1.094501461314618e-08,1.094501461314618e-08,0.0008909373584670493,0.0008909373584670493,11.118132829666138
17,5,87818240,3.0214784012276876e-05,3.0196269963470066e-05,3.0196269963470066e-05,1.851404880680909e-08,1.851404880680909e-08,0.000612748011016278,0.000612748011016278,13.316192626953125
18,5,87818240,2.9663165392477495e-05,2.964281996341992e-05,2.964281996341992e-05,2.034542905757366e-08,2.034542905757366e-08,0.0006858819275819164,0.0006858819275819164,13.146651268005371
35,4,62914560,1.363365642343221e-05,1.3616883196239845e-05,1.3616883196239845e-05,1.677322719236538e-08,1.677322719236538e-08,0.0012302809071480765,0.0012302809071480765,10.990452766418457
