gguf_tensor,hf_tensor,layer,qtype,bits_per_weight,shape,vectors,vector_dim,chunks,improved_chunks,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
blk.0.attn_k.weight,model.layers.0.self_attn.k_proj.weight,0,IQ3_XXS,3.0625,"[1024, 2560]",327680,8,3,1,2.0576000679284334e-05,2.0575986127369106e-05,2.0575986127369106e-05,1.4551915228366852e-11,1.4551915228366852e-11,7.072275830073014e-07,7.072275830073014e-07,2.1619038581848145
blk.0.attn_q.weight,model.layers.0.self_attn.q_proj.weight,0,IQ3_XXS,3.0625,"[4096, 2560]",1310720,8,10,8,1.8495927270123504e-05,1.8495081621949794e-05,1.8495081621949794e-05,8.456481737091463e-10,8.456481737091463e-10,4.5720777410015177e-05,4.5720777410015177e-05,1.7709155082702637
blk.0.ffn_gate.weight,model.layers.0.mlp.gate_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,24,1.1016382833124801e-05,1.0888096738582183e-05,1.0888096738582183e-05,1.2828609454261763e-07,1.2828609454261763e-07,0.011645028725479508,0.011645028725479508,4.441188097000122
blk.0.ffn_up.weight,model.layers.0.mlp.up_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,24,9.536526713897107e-06,9.439392469127932e-06,9.439392469127932e-06,9.713424476917496e-08,9.713424476917496e-08,0.010185494958832973,0.010185494958832973,4.449559688568115
blk.1.attn_k.weight,model.layers.1.self_attn.k_proj.weight,1,IQ3_XXS,3.0625,"[1024, 2560]",327680,8,3,3,1.8769551388686523e-05,1.8596043082652615e-05,1.8596043082652615e-05,1.7350830603390797e-07,1.7350830603390797e-07,0.009244137083558177,0.009244137083558177,0.4518117904663086
blk.1.attn_q.weight,model.layers.1.self_attn.q_proj.weight,1,IQ3_XXS,3.0625,"[4096, 2560]",1310720,8,10,10,1.7223702343471814e-05,1.7078673681680812e-05,1.7078673681680812e-05,1.450286617910017e-07,1.450286617910017e-07,0.008420295410293765,0.008420295410293765,1.7701399326324463
blk.1.ffn_gate.weight,model.layers.1.mlp.gate_proj.weight,1,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,24,1.0586459872061631e-05,1.0391500813966558e-05,1.0391500813966558e-05,1.9495905809507285e-07,1.9495905809507285e-07,0.018415887884257014,0.018415887884257014,4.4227988719940186
blk.1.ffn_up.weight,model.layers.1.mlp.up_proj.weight,1,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,24,4.813292630582342e-06,4.791282744589041e-06,4.791282744589041e-06,2.2009885993300426e-08,2.2009885993300426e-08,0.004572729663984202,0.004572729663984202,4.482391834259033
blk.6.attn_k.weight,model.layers.6.self_attn.k_proj.weight,6,IQ3_XXS,3.0625,"[1024, 2560]",327680,8,3,3,1.8646409444045275e-05,1.857740935520269e-05,1.857740935520269e-05,6.900008884258433e-08,6.900008884258433e-08,0.0037004490891204517,0.0037004490891204517,0.545351505279541
blk.6.attn_q.weight,model.layers.6.self_attn.q_proj.weight,6,IQ3_XXS,3.0625,"[4096, 2560]",1310720,8,10,10,1.9594475816120394e-05,1.9539873392204754e-05,1.9539873392204754e-05,5.460242391563952e-08,5.460242391563952e-08,0.0027866233538494586,0.0027866233538494586,1.7476680278778076
blk.6.ffn_gate.weight,model.layers.6.mlp.gate_proj.weight,6,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,24,1.4799646420502348e-05,1.4772566053005377e-05,1.4772566053005377e-05,2.7080367496970916e-08,2.7080367496970916e-08,0.0018297982754139149,0.0018297982754139149,4.454986810684204
blk.6.ffn_up.weight,model.layers.6.mlp.up_proj.weight,6,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,24,9.556780050364691e-06,9.551189577905461e-06,9.551189577905461e-06,5.590472459229663e-09,5.590472459229663e-09,0.0005849744819664787,0.0005849744819664787,4.461806535720825
blk.7.attn_k.weight,model.layers.7.self_attn.k_proj.weight,7,IQ2_XS,2.3125,"[1024, 2560]",327680,8,3,3,5.071697160019539e-05,5.03032497363165e-05,5.03032497363165e-05,4.1372186387889087e-07,4.1372186387889087e-07,0.00815746387896112,0.00815746387896112,0.34868597984313965
