layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,62914560,1.2075514602353602e-05,1.1771674773323563e-05,1.1771674773323563e-05,3.0383982903003993e-07,3.0383982903003993e-07,0.02516164644203398,0.02516164644203398,9.694015264511108
1,4,62914560,9.74841706407048e-06,9.327128153232186e-06,9.327128153232186e-06,4.212889108382936e-07,4.212889108382936e-07,0.04321613530375394,0.04321613530375394,7.8786163330078125
6,4,62914560,1.3683765174240154e-05,1.3373664690637574e-05,1.3373664690637574e-05,3.101004836025809e-07,3.101004836025809e-07,0.022661926717826804,0.022661926717826804,8.0106360912323
7,5,87818240,3.290038464965347e-05,3.269734915559625e-05,3.269734915559625e-05,2.0303549405722196e-07,2.0303549405722196e-07,0.00617121946199983,0.00617121946199983,9.77298355102539
14,5,87818240,3.1084402412964106e-05,3.09927629295184e-05,3.09927629295184e-05,9.163948344570564e-08,9.163948344570564e-08,0.002948085738572421,0.002948085738572421,9.723479509353638
15,5,87818240,3.0390211542175194e-05,3.0303614813188933e-05,3.0303614813188933e-05,8.659672898626074e-08,8.659672898626074e-08,0.0028494941164224135,0.0028494941164224135,9.758967638015747
16,4,62914560,1.2284830700082238e-05,1.2056047478381515e-05,1.2056047478381515e-05,2.2878322170072352e-07,2.2878322170072352e-07,0.01862322951664218,0.01862322951664218,7.799550771713257
17,5,87818240,3.0214784012276876e-05,3.013677610329408e-05,3.013677610329408e-05,7.800790898279648e-08,7.800790898279648e-08,0.0025817794676639186,0.0025817794676639186,9.629734516143799
18,5,87818240,2.9663165392477495e-05,2.9586545383269244e-05,2.9586545383269244e-05,7.662000920825098e-08,7.662000920825098e-08,0.0025830017867102483,0.0025830017867102483,9.519111633300781
35,4,62914560,1.363365642343221e-05,1.3347780479004238e-05,1.3347780479004238e-05,2.8587594442797194e-07,2.8587594442797194e-07,0.020968398758871173,0.020968398758871173,7.870574951171875
