gguf_tensor,hf_tensor,layer,qtype,bits_per_weight,shape,vectors,vector_dim,chunks,improved_chunks,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
blk.0.attn_k.weight,model.layers.0.self_attn.k_proj.weight,0,IQ3_XXS,3.0625,"[1024, 2560]",327680,8,3,3,2.0576000679284334e-05,2.0473571203183384e-05,2.0473571203183384e-05,1.0242947610095008e-07,1.0242947610095008e-07,0.004978104234030028,0.004978104234030028,2.013592004776001
blk.0.attn_q.weight,model.layers.0.self_attn.q_proj.weight,0,IQ3_XXS,3.0625,"[4096, 2560]",1310720,8,10,10,1.8495927270123504e-05,1.8387484033155488e-05,1.8387484033155488e-05,1.0844323696801574e-07,1.0844323696801574e-07,0.005863087337242305,0.005863087337242305,1.2625699043273926
blk.0.ffn_gate.weight,model.layers.0.mlp.gate_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,24,1.1016382833124801e-05,1.0590976250425325e-05,1.0590976250425325e-05,4.2540658269947614e-07,4.2540658269947614e-07,0.038615813297658376,0.038615813297658376,3.205254554748535
blk.0.ffn_up.weight,model.layers.0.mlp.up_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,24,9.536526713897107e-06,9.25078029946522e-06,9.25078029946522e-06,2.857464144318865e-07,2.857464144318865e-07,0.029963363287755746,0.029963363287755746,3.2125988006591797
blk.1.attn_k.weight,model.layers.1.self_attn.k_proj.weight,1,IQ3_XXS,3.0625,"[1024, 2560]",327680,8,3,3,1.8769551388686523e-05,1.809141431294847e-05,1.809141431294847e-05,6.781370757380514e-07,6.781370757380514e-07,0.03612963686211505,0.03612963686211505,0.31427955627441406
blk.1.attn_q.weight,model.layers.1.self_attn.q_proj.weight,1,IQ3_XXS,3.0625,"[4096, 2560]",1310720,8,10,10,1.7223702343471814e-05,1.6652558588248213e-05,1.6652558588248213e-05,5.711437552236014e-07,5.711437552236014e-07,0.033160335904206924,0.033160335904206924,1.2439703941345215
blk.1.ffn_gate.weight,model.layers.1.mlp.gate_proj.weight,1,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,24,1.0586459872061631e-05,9.93143167569973e-06,9.93143167569973e-06,6.550281963619015e-07,6.550281963619015e-07,0.061874149080805026,0.061874149080805026,3.177887201309204
blk.1.ffn_up.weight,model.layers.1.mlp.up_proj.weight,1,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,20,4.813292630582342e-06,4.715876430787758e-06,4.715876430787758e-06,9.741619979458394e-08,9.741619979458394e-08,0.020238993818000615,0.020238993818000615,3.142479181289673
blk.6.attn_k.weight,model.layers.6.self_attn.k_proj.weight,6,IQ3_XXS,3.0625,"[1024, 2560]",327680,8,3,3,1.8646409444045275e-05,1.817218217183836e-05,1.817218217183836e-05,4.7422727220691605e-07,4.7422727220691605e-07,0.025432632144541927,0.025432632144541927,0.336742639541626
blk.6.attn_q.weight,model.layers.6.self_attn.q_proj.weight,6,IQ3_XXS,3.0625,"[4096, 2560]",1310720,8,10,10,1.9594475816120394e-05,1.9176265595888253e-05,1.9176265595888253e-05,4.1821022023214027e-07,4.1821022023214027e-07,0.021343271652517405,0.021343271652517405,1.2828803062438965
blk.6.ffn_gate.weight,model.layers.6.mlp.gate_proj.weight,6,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,24,1.4799646420502348e-05,1.436978912495665e-05,1.436978912495665e-05,4.2985729554569896e-07,4.2985729554569896e-07,0.02904510576348676,0.02904510576348676,3.1638925075531006
blk.6.ffn_up.weight,model.layers.6.mlp.up_proj.weight,6,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,24,9.556780050364691e-06,9.429232771876022e-06,9.429232771876022e-06,1.2754727848866837e-07,1.2754727848866837e-07,0.013346260750638612,0.013346260750638612,3.2271206378936768
blk.7.attn_k.weight,model.layers.7.self_attn.k_proj.weight,7,IQ2_XS,2.3125,"[1024, 2560]",327680,8,3,3,5.071697160019539e-05,4.986268977518194e-05,4.986268977518194e-05,8.54281825013456e-07,8.54281825013456e-07,0.016844101649992147,0.016844101649992147,0.2710840702056885
blk.7.attn_q.weight,model.layers.7.self_attn.q_proj.weight,7,IQ2_XS,2.3125,"[4096, 2560]",1310720,8,10,10,4.974377152393572e-05,4.917818478133995e-05,4.917818478133995e-05,5.655867425957722e-07,5.655867425957722e-07,0.011370001213591595,0.011370001213591595,1.026637077331543
blk.7.ffn_down.weight,model.layers.7.mlp.down_proj.weight,7,IQ3_S,3.44,"[2560, 9728]",3112960,8,24,24,9.677101192401574e-06,9.510080111029215e-06,9.510080111029215e-06,1.6702108137235905e-07,1.6702108137235905e-07,0.017259412509141002,0.017259412509141002,3.1746699810028076
blk.7.ffn_gate.weight,model.layers.7.mlp.gate_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",3112960,8,24,24,4.809013465235598e-05,4.7892514435500886e-05,4.7892514435500886e-05,1.9762021685509255e-07,1.9762021685509255e-07,0.004109371252205694,0.004109371252205694,2.64375901222229
blk.7.ffn_up.weight,model.layers.7.mlp.up_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",3112960,8,24,24,3.196653553076382e-05,3.19432757494628e-05,3.19432757494628e-05,2.325978130102022e-08,2.325978130102022e-08,0.0007276290944520894,0.0007276290944520894,2.6568334102630615
blk.14.attn_k.weight,model.layers.14.self_attn.k_proj.weight,14,IQ2_XS,2.3125,"[1024, 2560]",327680,8,3,3,5.000024393666536e-05,4.979902296327054e-05,4.979902296327054e-05,2.0122097339481522e-07,2.0122097339481522e-07,0.004024399833922793,0.004024399833922793,0.2463390827178955
blk.14.attn_q.weight,model.layers.14.self_attn.q_proj.weight,14,IQ2_XS,2.3125,"[4096, 2560]",1310720,8,10,10,5.024407582823187e-05,5.012893452658318e-05,5.012893452658318e-05,1.1514130164869401e-07,1.1514130164869401e-07,0.002291639357490117,0.002291639357490117,1.0156915187835693
blk.14.ffn_down.weight,model.layers.14.mlp.down_proj.weight,14,IQ3_S,3.44,"[2560, 9728]",3112960,8,24,24,1.0405812903818992e-05,1.0220762621764535e-05,1.0220762621764535e-05,1.8505028205445744e-07,1.8505028205445744e-07,0.017783356645451786,0.017783356645451786,3.163821220397949
blk.14.ffn_gate.weight,model.layers.14.mlp.gate_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",3112960,8,24,24,3.7451252252427176e-05,3.739587225840966e-05,3.739587225840966e-05,5.537999401751282e-08,5.537999401751282e-08,0.0014787220903654482,0.0014787220903654482,2.623223066329956
blk.14.ffn_up.weight,model.layers.14.mlp.up_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",3112960,8,24,23,3.533776995793328e-05,3.532471217974824e-05,3.532471217974824e-05,1.3057778185035908e-08,1.3057778185035908e-08,0.0003695133620650121,0.0003695133620650121,2.6744046211242676
blk.15.attn_k.weight,model.layers.15.self_attn.k_proj.weight,15,IQ2_XS,2.3125,"[1024, 2560]",327680,8,3,3,5.010935783502646e-05,4.979790246579796e-05,4.979790246579796e-05,3.114553692285012e-07,3.114553692285012e-07,0.006215513083482259,0.006215513083482259,0.2660961151123047
blk.15.attn_q.weight,model.layers.15.self_attn.q_proj.weight,15,IQ2_XS,2.3125,"[4096, 2560]",1310720,8,10,10,5.205719207879156e-05,5.195541089051403e-05,5.195541089051403e-05,1.0178118827752905e-07,1.0178118827752905e-07,0.0019551801434752256,0.0019551801434752256,0.9692795276641846
blk.15.ffn_down.weight,model.layers.15.mlp.down_proj.weight,15,IQ3_S,3.44,"[2560, 9728]",3112960,8,24,24,1.0295365868124033e-05,1.012030809904804e-05,1.012030809904804e-05,1.7505776907599224e-07,1.7505776907599224e-07,0.017003550074698837,0.017003550074698837,3.162210702896118
blk.15.ffn_gate.weight,model.layers.15.mlp.gate_proj.weight,15,IQ2_S,2.5,"[9728, 2560]",3112960,8,24,24,3.5064022200745774e-05,3.502133591897099e-05,3.502133591897099e-05,4.2686281774780325e-08,4.2686281774780325e-08,0.0012173812100162438,0.0012173812100162438,2.6977486610412598
blk.15.ffn_up.weight,model.layers.15.mlp.up_proj.weight,15,IQ2_S,2.5,"[9728, 2560]",3112960,8,24,24,3.46126077745698e-05,3.4600624425557296e-05,3.4600624425557296e-05,1.1983349012505281e-08,1.1983349012505281e-08,0.00034621341132549846,0.00034621341132549846,2.66363263130188
blk.16.attn_k.weight,model.layers.16.self_attn.k_proj.weight,16,IQ3_XXS,3.0625,"[1024, 2560]",327680,8,3,3,1.7642134116613307e-05,1.7310212570009753e-05,1.7310212570009753e-05,3.3192154660355435e-07,3.3192154660355435e-07,0.01881413804075944,0.01881413804075944,0.3399629592895508
blk.16.attn_q.weight,model.layers.16.self_attn.q_proj.weight,16,IQ3_XXS,3.0625,"[4096, 2560]",1310720,8,10,10,1.8396731138636824e-05,1.8112184989149682e-05,1.8112184989149682e-05,2.845461494871422e-07,2.845461494871422e-07,0.015467212481544519,0.015467212481544519,1.2238132953643799
blk.16.ffn_gate.weight,model.layers.16.mlp.gate_proj.weight,16,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,24,1.1117500769997654e-05,1.0864522530602315e-05,1.0864522530602315e-05,2.5297823939533854e-07,2.5297823939533854e-07,0.022754955869042134,0.022754955869042134,3.178779363632202
