layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,62914560,1.2075514602353602e-05,1.2071426408510887e-05,1.2071426408510887e-05,4.0881938427151325e-09,4.0881938427151325e-09,0.00033855234972084044,0.00033855234972084044,17.115570068359375
1,4,62914560,9.74841706407048e-06,9.738606267510145e-06,9.738606267510145e-06,9.810796560334406e-09,9.810796560334406e-09,0.0010063989359353363,0.0010063989359353363,15.806897640228271
6,4,62914560,1.3683765174240154e-05,1.3672549861591203e-05,1.3672549861591203e-05,1.1215312648951386e-08,1.1215312648951386e-08,0.0008196072138145385,0.0008196072138145385,15.825149297714233
7,5,87818240,3.290038464965347e-05,3.282878412812976e-05,3.282878412812976e-05,7.160052152370942e-08,7.160052152370942e-08,0.0021762822011402705,0.0021762822011402705,19.655798196792603
14,5,87818240,3.1084402412964106e-05,3.106854901353241e-05,3.106854901353241e-05,1.585339943169391e-08,1.585339943169391e-08,0.0005100113948171661,0.0005100113948171661,19.612125635147095
15,5,87818240,3.0390211542175194e-05,3.0375888808752034e-05,3.0375888808752034e-05,1.4322733423160084e-08,1.4322733423160084e-08,0.0004712942982737437,0.0004712942982737437,19.739766359329224
16,4,62914560,1.2284830700082238e-05,1.2280944899127159e-05,1.2280944899127159e-05,3.885800955079016e-09,3.885800955079016e-09,0.00031630887310909404,0.00031630887310909404,15.56571912765503
17,5,87818240,3.0214784012276876e-05,3.0202386817597755e-05,3.0202386817597755e-05,1.2397194679120382e-08,1.2397194679120382e-08,0.00041030227699404215,0.00041030227699404215,20.12533187866211
18,5,87818240,2.9663165392477495e-05,2.9651001316222445e-05,2.9651001316222445e-05,1.216407625505029e-08,1.216407625505029e-08,0.0004100734393685129,0.0004100734393685129,19.66548442840576
35,4,62914560,1.363365642343221e-05,1.3627857818695095e-05,1.3627857818695095e-05,5.798604737114783e-09,5.798604737114783e-09,0.0004253154514843649,0.0004253154514843649,15.50136399269104
