gguf_tensor,hf_tensor,layer,qtype,bits_per_weight,shape,vectors,vector_dim,chunks,improved_chunks,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
blk.0.attn_k.weight,model.layers.0.self_attn.k_proj.weight,0,IQ3_XXS,3.0625,"[1024, 2560]",327680,8,3,3,2.0576000679284334e-05,2.0566093371598982e-05,2.0566093371598982e-05,9.907307685352184e-09,9.907307685352184e-09,0.0004814982192009131,0.0004814982192009131,1.959665060043335
blk.0.attn_q.weight,model.layers.0.self_attn.q_proj.weight,0,IQ3_XXS,3.0625,"[4096, 2560]",1310720,8,10,9,1.8495927270123504e-05,1.8486442149878714e-05,1.8486442149878714e-05,9.485120244789869e-09,9.485120244789869e-09,0.0005128220989553304,0.0005128220989553304,2.3998897075653076
blk.0.ffn_gate.weight,model.layers.0.mlp.gate_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,17,1.1016382833124801e-05,1.1012722337143618e-05,1.1012722337143618e-05,3.660495981182654e-09,3.660495981182654e-09,0.0003322774849632157,0.0003322774849632157,6.357050895690918
blk.0.ffn_up.weight,model.layers.0.mlp.up_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,11,9.536526713897107e-06,9.534895750556117e-06,9.534895750556117e-06,1.6309633409899424e-09,1.6309633409899424e-09,0.00017102278323335692,0.00017102278323335692,6.3989644050598145
blk.1.attn_k.weight,model.layers.1.self_attn.k_proj.weight,1,IQ3_XXS,3.0625,"[1024, 2560]",327680,8,3,3,1.8769551388686523e-05,1.8721455126069487e-05,1.8721455126069487e-05,4.8096262617035345e-08,4.8096262617035345e-08,0.0025624620227218484,0.0025624620227218484,0.6195638179779053
blk.1.attn_q.weight,model.layers.1.self_attn.q_proj.weight,1,IQ3_XXS,3.0625,"[4096, 2560]",1310720,8,10,10,1.7223702343471814e-05,1.718812436592998e-05,1.718812436592998e-05,3.557797754183276e-08,3.557797754183276e-08,0.0020656405244553967,0.0020656405244553967,2.3673508167266846
blk.1.ffn_gate.weight,model.layers.1.mlp.gate_proj.weight,1,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,17,1.0586459872061631e-05,1.0582291663826925e-05,1.0582291663826925e-05,4.168208234706664e-09,4.168208234706664e-09,0.0003937301312317672,0.0003937301312317672,6.395439624786377
blk.1.ffn_up.weight,model.layers.1.mlp.up_proj.weight,1,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,7,4.813292630582342e-06,4.81271863411561e-06,4.81271863411561e-06,5.73996466731831e-10,5.73996466731831e-10,0.0001192523519315686,0.0001192523519315686,6.424543380737305
blk.6.attn_k.weight,model.layers.6.self_attn.k_proj.weight,6,IQ3_XXS,3.0625,"[1024, 2560]",327680,8,3,3,1.8646409444045275e-05,1.8616029410623015e-05,1.8616029410623015e-05,3.03800334222608e-08,3.03800334222608e-08,0.0016292698877725573,0.0016292698877725573,0.610022783279419
blk.6.attn_q.weight,model.layers.6.self_attn.q_proj.weight,6,IQ3_XXS,3.0625,"[4096, 2560]",1310720,8,10,10,1.9594475816120394e-05,1.956665473699104e-05,1.956665473699104e-05,2.782107912935452e-08,2.782107912935452e-08,0.0014198429899546531,0.0014198429899546531,2.4321694374084473
