gguf_tensor,hf_tensor,layer,qtype,bits_per_weight,shape,vectors,vector_dim,chunks,improved_chunks,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
blk.0.attn_k.weight,model.layers.0.self_attn.k_proj.weight,0,IQ3_XXS,3.0625,"[1024, 2560]",327680,8,3,0,2.0576000679284334e-05,2.0576000679284334e-05,2.0576000679284334e-05,0.0,0.0,0.0,0.0,1.6973073482513428
blk.0.attn_q.weight,model.layers.0.self_attn.q_proj.weight,0,IQ3_XXS,3.0625,"[4096, 2560]",1310720,8,10,2,1.8495927270123504e-05,1.8494342748454072e-05,1.8494342748454072e-05,1.584521669431506e-09,1.584521669431506e-09,8.56686797201558e-05,8.56686797201558e-05,0.8058121204376221
blk.0.ffn_gate.weight,model.layers.0.mlp.gate_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,0,1.1016382833124801e-05,1.1016382833124801e-05,1.1016382833124801e-05,0.0,0.0,0.0,0.0,2.134246587753296
blk.0.ffn_up.weight,model.layers.0.mlp.up_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,0,9.536526713897107e-06,9.536526713897107e-06,9.536526713897107e-06,0.0,0.0,0.0,0.0,2.2170004844665527
blk.1.attn_k.weight,model.layers.1.self_attn.k_proj.weight,1,IQ3_XXS,3.0625,"[1024, 2560]",327680,8,3,0,1.8769551388686523e-05,1.8769551388686523e-05,1.8769551388686523e-05,0.0,0.0,0.0,0.0,0.2105388641357422
blk.1.attn_q.weight,model.layers.1.self_attn.q_proj.weight,1,IQ3_XXS,3.0625,"[4096, 2560]",1310720,8,10,1,1.7223702343471814e-05,1.721968874335289e-05,1.721968874335289e-05,4.013600118923932e-09,4.013600118923932e-09,0.0002330277218501271,0.0002330277218501271,0.7959797382354736
blk.1.ffn_gate.weight,model.layers.1.mlp.gate_proj.weight,1,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,0,1.0586459872061631e-05,1.0586459872061631e-05,1.0586459872061631e-05,0.0,0.0,0.0,0.0,2.174492359161377
blk.1.ffn_up.weight,model.layers.1.mlp.up_proj.weight,1,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,0,4.813292630582342e-06,4.813292630582342e-06,4.813292630582342e-06,0.0,0.0,0.0,0.0,2.159803628921509
blk.6.attn_k.weight,model.layers.6.self_attn.k_proj.weight,6,IQ3_XXS,3.0625,"[1024, 2560]",327680,8,3,0,1.8646409444045275e-05,1.8646409444045275e-05,1.8646409444045275e-05,0.0,0.0,0.0,0.0,0.20786046981811523
blk.6.attn_q.weight,model.layers.6.self_attn.q_proj.weight,6,IQ3_XXS,3.0625,"[4096, 2560]",1310720,8,10,0,1.9594475816120394e-05,1.9594475816120394e-05,1.9594475816120394e-05,0.0,0.0,0.0,0.0,0.7980422973632812
blk.6.ffn_gate.weight,model.layers.6.mlp.gate_proj.weight,6,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,1,1.4799646420502348e-05,1.4799450505769959e-05,1.4799450505769959e-05,1.9591473238938335e-10,1.9591473238938335e-10,1.3237798175906243e-05,1.3237798175906243e-05,2.143115282058716
blk.6.ffn_up.weight,model.layers.6.mlp.up_proj.weight,6,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,0,9.556780050364691e-06,9.556780050364691e-06,9.556780050364691e-06,0.0,0.0,0.0,0.0,2.133906841278076
blk.7.attn_k.weight,model.layers.7.self_attn.k_proj.weight,7,IQ2_XS,2.3125,"[1024, 2560]",327680,8,3,3,5.071697160019539e-05,5.068455866421573e-05,5.068455866421573e-05,3.241293597966297e-08,3.241293597966297e-08,0.0006390944679263557,0.0006390944679263557,0.17074918746948242
blk.7.attn_q.weight,model.layers.7.self_attn.q_proj.weight,7,IQ2_XS,2.3125,"[4096, 2560]",1310720,8,10,7,4.974377152393572e-05,4.97243891004473e-05,4.97243891004473e-05,1.938242348842594e-08,1.938242348842594e-08,0.00038964523385806197,0.00038964523385806197,0.6696648597717285
blk.7.ffn_down.weight,model.layers.7.mlp.down_proj.weight,7,IQ3_S,3.44,"[2560, 9728]",3112960,8,24,0,9.677101192401574e-06,9.677101192401574e-06,9.677101192401574e-06,0.0,0.0,0.0,0.0,2.1307241916656494
blk.7.ffn_gate.weight,model.layers.7.mlp.gate_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",3112960,8,24,11,4.809013465235598e-05,4.8080422933899654e-05,4.8080422933899654e-05,9.711718456325061e-09,9.711718456325061e-09,0.00020194824835761353,0.00020194824835761353,1.8785624504089355
blk.7.ffn_up.weight,model.layers.7.mlp.up_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",3112960,8,24,1,3.196653553076382e-05,3.1966178319539485e-05,3.1966178319539485e-05,3.572112243382963e-10,3.572112243382963e-10,1.1174536696181068e-05,1.1174536696181068e-05,1.8814034461975098
blk.14.attn_k.weight,model.layers.14.self_attn.k_proj.weight,14,IQ2_XS,2.3125,"[1024, 2560]",327680,8,3,3,5.000024393666536e-05,4.999182419851422e-05,4.999182419851422e-05,8.419738151134416e-09,8.419738151134416e-09,0.00016839394147355732,0.00016839394147355732,0.17191147804260254
blk.14.attn_q.weight,model.layers.14.self_attn.q_proj.weight,14,IQ2_XS,2.3125,"[4096, 2560]",1310720,8,10,7,5.024407582823187e-05,5.023145349696279e-05,5.023145349696279e-05,1.2622331269084052e-08,1.2622331269084052e-08,0.00025122028937771073,0.00025122028937771073,0.6548566818237305
blk.14.ffn_down.weight,model.layers.14.mlp.down_proj.weight,14,IQ3_S,3.44,"[2560, 9728]",3112960,8,24,1,1.0405812903818992e-05,1.0405376805896307e-05,1.0405376805896307e-05,4.3609792268484713e-10,4.3609792268484713e-10,4.19090682021389e-05,4.19090682021389e-05,2.1450836658477783
blk.14.ffn_gate.weight,model.layers.14.mlp.gate_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",3112960,8,24,4,3.7451252252427176e-05,3.7447389408235294e-05,3.7447389408235294e-05,3.8628441918813145e-09,3.8628441918813145e-09,0.00010314325849093518,0.00010314325849093518,1.892399549484253
blk.14.ffn_up.weight,model.layers.14.mlp.up_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",3112960,8,24,1,3.533776995793328e-05,3.53376441987501e-05,3.53376441987501e-05,1.2575918317781973e-10,1.2575918317781973e-10,3.5587753083322956e-06,3.5587753083322956e-06,1.8868260383605957
blk.15.attn_k.weight,model.layers.15.self_attn.k_proj.weight,15,IQ2_XS,2.3125,"[1024, 2560]",327680,8,3,3,5.010935783502646e-05,5.009191809222102e-05,5.009191809222102e-05,1.7439742805438964e-08,1.7439742805438964e-08,0.00034803365197485283,0.00034803365197485283,0.17356300354003906
blk.15.attn_q.weight,model.layers.15.self_attn.q_proj.weight,15,IQ2_XS,2.3125,"[4096, 2560]",1310720,8,10,6,5.205719207879156e-05,5.2045682605239565e-05,5.2045682605239565e-05,1.1509473551993342e-08,1.1509473551993342e-08,0.00022109286137779176,0.00022109286137779176,0.6557443141937256
blk.15.ffn_down.weight,model.layers.15.mlp.down_proj.weight,15,IQ3_S,3.44,"[2560, 9728]",3112960,8,24,0,1.0295365868124033e-05,1.0295365868124033e-05,1.0295365868124033e-05,0.0,0.0,0.0,0.0,2.135117769241333
blk.15.ffn_gate.weight,model.layers.15.mlp.gate_proj.weight,15,IQ2_S,2.5,"[9728, 2560]",3112960,8,24,6,3.5064022200745774e-05,3.505956364709786e-05,3.505956364709786e-05,4.458553647915427e-09,4.458553647915427e-09,0.00012715465505895663,0.00012715465505895663,1.9806983470916748
blk.15.ffn_up.weight,model.layers.15.mlp.up_proj.weight,15,IQ2_S,2.5,"[9728, 2560]",3112960,8,24,3,3.46126077745698e-05,3.4611733281053605e-05,3.4611733281053605e-05,8.744935161954042e-10,8.744935161954042e-10,2.526517279168727e-05,2.526517279168727e-05,1.8832440376281738
