layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,62914560,1.2075514602353602e-05,1.207504136194378e-05,1.207504136194378e-05,4.732404098230783e-10,4.732404098230783e-10,3.9190082195821326e-05,3.9190082195821326e-05,6.774833917617798
1,4,62914560,9.74841706407048e-06,9.746847230740486e-06,9.746847230740486e-06,1.5698333299941463e-09,1.5698333299941463e-09,0.00016103469103512667,0.00016103469103512667,5.5498762130737305
6,4,62914560,1.3683765174240154e-05,1.3682619453447842e-05,1.3682619453447842e-05,1.1457207923126262e-09,1.1457207923126262e-09,8.372847514728321e-05,8.372847514728321e-05,5.458235502243042
7,5,87818240,3.290038464965347e-05,3.2870984807177866e-05,3.2870984807177866e-05,2.9399842475605765e-08,2.9399842475605765e-08,0.0008936017857747272,0.0008936017857747272,7.062625169754028
14,5,87818240,3.1084402412964106e-05,3.1076338436561394e-05,3.1076338436561394e-05,8.06397640271139e-09,8.06397640271139e-09,0.00025942195367243786,0.00025942195367243786,6.872608184814453
15,5,87818240,3.0390211542175194e-05,3.0381603237265833e-05,3.0381603237265833e-05,8.608304909360872e-09,8.608304909360872e-09,0.00028325913090188146,0.00028325913090188146,6.885963201522827
16,4,62914560,1.2284830700082238e-05,1.2283997057238593e-05,1.2283997057238593e-05,8.336428436447272e-10,8.336428436447272e-10,6.785953050530412e-05,6.785953050530412e-05,5.366800785064697
17,5,87818240,3.0214784012276876e-05,3.0208980208940443e-05,3.0208980208940443e-05,5.80380333643253e-09,5.80380333643253e-09,0.0001920848857987642,0.0001920848857987642,6.838583707809448
18,5,87818240,2.9663165392477495e-05,2.965691160917136e-05,2.965691160917136e-05,6.253783306133805e-09,6.253783306133805e-09,0.00021082656632861405,0.00021082656632861405,6.925961256027222
35,4,62914560,1.363365642343221e-05,1.3632273472315622e-05,1.3632273472315622e-05,1.3829511165883553e-09,1.3829511165883553e-09,0.00010143655330872742,0.00010143655330872742,5.339018106460571
