gguf_tensor,hf_tensor,layer,qtype,bits_per_weight,shape,vectors,vector_dim,chunks,improved_chunks,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
blk.0.attn_k.weight,model.layers.0.self_attn.k_proj.weight,0,IQ3_XXS,3.0625,"[1024, 2560]",327680,8,3,3,2.0576000679284334e-05,2.0556836170726454e-05,2.0556836170726454e-05,1.916450855787979e-08,1.916450855787979e-08,0.0009314010461311066,0.0009314010461311066,2.5607285499572754
blk.0.attn_q.weight,model.layers.0.self_attn.q_proj.weight,0,IQ3_XXS,3.0625,"[4096, 2560]",1310720,8,10,10,1.8495927270123504e-05,1.847493513196241e-05,1.847493513196241e-05,2.099213816109249e-08,2.099213816109249e-08,0.0011349600295520797,0.0011349600295520797,3.446911334991455
blk.0.ffn_gate.weight,model.layers.0.mlp.gate_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,24,1.1016382833124801e-05,1.0978749234805276e-05,1.0978749234805276e-05,3.7633598319524944e-08,3.7633598319524944e-08,0.003416148375523562,0.003416148375523562,8.362917423248291
blk.0.ffn_up.weight,model.layers.0.mlp.up_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,24,9.536526713897107e-06,9.519681273224322e-06,9.519681273224322e-06,1.6845440672784795e-08,1.6845440672784795e-08,0.0017664125711761255,0.0017664125711761255,8.28847360610962
blk.1.attn_k.weight,model.layers.1.self_attn.k_proj.weight,1,IQ3_XXS,3.0625,"[1024, 2560]",327680,8,3,3,1.8769551388686523e-05,1.85177952516824e-05,1.85177952516824e-05,2.517561370041228e-07,2.517561370041228e-07,0.01341300768412987,0.01341300768412987,0.9145007133483887
blk.1.attn_q.weight,model.layers.1.self_attn.q_proj.weight,1,IQ3_XXS,3.0625,"[4096, 2560]",1310720,8,10,10,1.7223702343471814e-05,1.7047678375092802e-05,1.7047678375092802e-05,1.7602396837901189e-07,1.7602396837901189e-07,0.010219868229767051,0.010219868229767051,3.420358657836914
blk.1.ffn_gate.weight,model.layers.1.mlp.gate_proj.weight,1,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,24,1.0586459872061631e-05,1.0522977219663612e-05,1.0522977219663612e-05,6.348265239801959e-08,6.348265239801959e-08,0.00599658933819364,0.00599658933819364,8.363686323165894
blk.1.ffn_up.weight,model.layers.1.mlp.up_proj.weight,1,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,15,4.813292630582342e-06,4.8076249264657855e-06,4.8076249264657855e-06,5.667704116556346e-09,5.667704116556346e-09,0.0011775108125662893,0.0011775108125662893,8.36149787902832
blk.6.attn_k.weight,model.layers.6.self_attn.k_proj.weight,6,IQ3_XXS,3.0625,"[1024, 2560]",327680,8,3,3,1.8646409444045275e-05,1.8498991630622184e-05,1.8498991630622184e-05,1.4741781342309104e-07,1.4741781342309104e-07,0.00790596247848504,0.00790596247848504,0.8789448738098145
blk.6.attn_q.weight,model.layers.6.self_attn.q_proj.weight,6,IQ3_XXS,3.0625,"[4096, 2560]",1310720,8,10,10,1.9594475816120394e-05,1.9477397472655866e-05,1.9477397472655866e-05,1.1707834346452728e-07,1.1707834346452728e-07,0.005975068920609084,0.005975068920609084,3.4219062328338623
blk.6.ffn_gate.weight,model.layers.6.mlp.gate_proj.weight,6,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,24,1.4799646420502348e-05,1.4756210217264629e-05,1.4756210217264629e-05,4.343620323771939e-08,4.343620323771939e-08,0.002934948714554832,0.002934948714554832,8.39195466041565
blk.6.ffn_up.weight,model.layers.6.mlp.up_proj.weight,6,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,18,9.556780050364691e-06,9.554334897793046e-06,9.554334897793046e-06,2.44515257164524e-09,2.44515257164524e-09,0.0002558552732990786,0.0002558552732990786,8.326033592224121
blk.7.attn_k.weight,model.layers.7.self_attn.k_proj.weight,7,IQ2_XS,2.3125,"[1024, 2560]",327680,8,3,3,5.071697160019539e-05,4.987433785572648e-05,4.987433785572648e-05,8.426337444689138e-07,8.426337444689138e-07,0.016614433352043195,0.016614433352043195,0.6687140464782715
blk.7.attn_q.weight,model.layers.7.self_attn.q_proj.weight,7,IQ2_XS,2.3125,"[4096, 2560]",1310720,8,10,10,4.974377152393572e-05,4.9143191426992415e-05,4.9143191426992415e-05,6.00580096943308e-07,6.00580096943308e-07,0.012073473292114988,0.012073473292114988,2.6568641662597656
blk.7.ffn_down.weight,model.layers.7.mlp.down_proj.weight,7,IQ3_S,3.44,"[2560, 9728]",3112960,8,24,18,9.677101192401574e-06,9.676371892534295e-06,9.676371892534295e-06,7.292998672790783e-10,7.292998672790783e-10,7.53634639939202e-05,7.53634639939202e-05,8.23593783378601
blk.7.ffn_gate.weight,model.layers.7.mlp.gate_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",3112960,8,24,24,4.809013465235598e-05,4.792422796048126e-05,4.792422796048126e-05,1.6590669187472012e-07,1.6590669187472012e-07,0.0034499111527564043,0.0034499111527564043,6.486073017120361
blk.7.ffn_up.weight,model.layers.7.mlp.up_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",3112960,8,24,22,3.196653553076382e-05,3.194302836690392e-05,3.194302836690392e-05,2.3507163859902457e-08,2.3507163859902457e-08,0.0007353678923785697,0.0007353678923785697,6.364236831665039
blk.14.attn_k.weight,model.layers.14.self_attn.k_proj.weight,14,IQ2_XS,2.3125,"[1024, 2560]",327680,8,3,3,5.000024393666536e-05,4.98099863762036e-05,4.98099863762036e-05,1.902575604617582e-07,1.902575604617582e-07,0.003805132645007791,0.003805132645007791,0.6800687313079834
blk.14.attn_q.weight,model.layers.14.self_attn.q_proj.weight,14,IQ2_XS,2.3125,"[4096, 2560]",1310720,8,10,10,5.024407582823187e-05,5.014065827708691e-05,5.014065827708691e-05,1.0341755114496161e-07,1.0341755114496161e-07,0.0020583033808505608,0.0020583033808505608,2.5257089138031006
blk.14.ffn_down.weight,model.layers.14.mlp.down_proj.weight,14,IQ3_S,3.44,"[2560, 9728]",3112960,8,24,21,1.0405812903818992e-05,1.0404966394018726e-05,1.0404966394018726e-05,8.465098002666699e-10,8.465098002666699e-10,8.134970406358124e-05,8.134970406358124e-05,8.261584758758545
blk.14.ffn_gate.weight,model.layers.14.mlp.gate_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",3112960,8,24,24,3.7451252252427176e-05,3.7429810924406506e-05,3.7429810924406506e-05,2.1441328020669627e-08,2.1441328020669627e-08,0.000572512979703637,0.000572512979703637,6.317204475402832
blk.14.ffn_up.weight,model.layers.14.mlp.up_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",3112960,8,24,23,3.533776995793328e-05,3.533231279825008e-05,3.533231279825008e-05,5.457159683201014e-09,5.457159683201014e-09,0.00015442852476818192,0.00015442852476818192,6.277531623840332
blk.15.attn_k.weight,model.layers.15.self_attn.k_proj.weight,15,IQ2_XS,2.3125,"[1024, 2560]",327680,8,3,3,5.010935783502646e-05,4.983986655133776e-05,4.983986655133776e-05,2.694912836886983e-07,2.694912836886983e-07,0.005378063007231831,0.005378063007231831,0.659170389175415
blk.15.attn_q.weight,model.layers.15.self_attn.q_proj.weight,15,IQ2_XS,2.3125,"[4096, 2560]",1310720,8,10,10,5.205719207879156e-05,5.1978954070364124e-05,5.1978954070364124e-05,7.823800842743502e-08,7.823800842743502e-08,0.001502924097577474,0.001502924097577474,2.5980591773986816
blk.15.ffn_down.weight,model.layers.15.mlp.down_proj.weight,15,IQ3_S,3.44,"[2560, 9728]",3112960,8,24,22,1.0295365868124033e-05,1.0294725392381416e-05,1.0294725392381416e-05,6.404757426166683e-10,6.404757426166683e-10,6.221010023545403e-05,6.221010023545403e-05,8.265126466751099
blk.15.ffn_gate.weight,model.layers.15.mlp.gate_proj.weight,15,IQ2_S,2.5,"[9728, 2560]",3112960,8,24,23,3.5064022200745774e-05,3.504631834067894e-05,3.504631834067894e-05,1.7703860066832467e-08,1.7703860066832467e-08,0.0005049010055228611,0.0005049010055228611,6.31990909576416
blk.15.ffn_up.weight,model.layers.15.mlp.up_proj.weight,15,IQ2_S,2.5,"[9728, 2560]",3112960,8,24,23,3.46126077745698e-05,3.460565226544675e-05,3.460565226544675e-05,6.955509123049712e-09,6.955509123049712e-09,0.00020095305064416407,0.00020095305064416407,6.3890440464019775
blk.16.attn_k.weight,model.layers.16.self_attn.k_proj.weight,16,IQ3_XXS,3.0625,"[1024, 2560]",327680,8,3,3,1.7642134116613307e-05,1.756076089804992e-05,1.756076089804992e-05,8.137321856338599e-08,8.137321856338599e-08,0.00461243622939915,0.00461243622939915,0.8754878044128418
blk.16.attn_q.weight,model.layers.16.self_attn.q_proj.weight,16,IQ3_XXS,3.0625,"[4096, 2560]",1310720,8,10,10,1.8396731138636824e-05,1.8340765745961107e-05,1.8340765745961107e-05,5.5965392675717785e-08,5.5965392675717785e-08,0.0030421378805813625,0.0030421378805813625,3.4349300861358643
blk.16.ffn_gate.weight,model.layers.16.mlp.gate_proj.weight,16,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,23,1.1117500769997654e-05,1.1105441655289676e-05,1.1105441655289676e-05,1.2059114707977221e-08,1.2059114707977221e-08,0.001084696548033589,0.001084696548033589,8.252984523773193
blk.16.ffn_up.weight,model.layers.16.mlp.up_proj.weight,16,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,22,1.0314802191140571e-05,1.0313877206307983e-05,1.0313877206307983e-05,9.249848325879235e-10,9.249848325879235e-10,8.967547951451722e-05,8.967547951451722e-05,8.271744728088379
blk.17.attn_k.weight,model.layers.17.self_attn.k_proj.weight,17,IQ2_XS,2.3125,"[1024, 2560]",327680,8,3,3,4.426324085216038e-05,4.403950442792848e-05,4.403950442792848e-05,2.2373642423189905e-07,2.2373642423189905e-07,0.005054677875467382,0.005054677875467382,0.6695306301116943
blk.17.attn_q.weight,model.layers.17.self_attn.q_proj.weight,17,IQ2_XS,2.3125,"[4096, 2560]",1310720,8,10,10,5.1486093070707284e-05,5.144703136465978e-05,5.144703136465978e-05,3.906170604750243e-08,3.906170604750243e-08,0.0007586846023421879,0.0007586846023421879,2.4988763332366943
blk.17.ffn_down.weight,model.layers.17.mlp.down_proj.weight,17,IQ3_S,3.44,"[2560, 9728]",3112960,8,24,14,1.0050033061385252e-05,1.0049314953089618e-05,1.0049314953089618e-05,7.181082956347098e-10,7.181082956347098e-10,7.145332669539785e-05,7.145332669539785e-05,8.237246751785278
blk.17.ffn_gate.weight,model.layers.17.mlp.gate_proj.weight,17,IQ2_S,2.5,"[9728, 2560]",3112960,8,24,20,3.579558282294066e-05,3.578655190434993e-05,3.578655190434993e-05,9.030918590725823e-09,9.030918590725823e-09,0.0002522914247659097,0.0002522914247659097,6.3844215869903564
blk.17.ffn_up.weight,model.layers.17.mlp.up_proj.weight,17,IQ2_S,2.5,"[9728, 2560]",3112960,8,24,21,3.4363610565809435e-05,3.435715694458371e-05,3.435715694458371e-05,6.453621225725877e-09,6.453621225725877e-09,0.0001878039332731526,0.0001878039332731526,6.4098732471466064
blk.18.attn_k.weight,model.layers.18.self_attn.k_proj.weight,18,IQ2_XS,2.3125,"[1024, 2560]",327680,8,3,3,4.539283545454964e-05,4.511207371251658e-05,4.511207371251658e-05,2.8076174203306165e-07,2.8076174203306165e-07,0.006185155415421872,0.006185155415421872,0.6785202026367188
blk.18.attn_q.weight,model.layers.18.self_attn.q_proj.weight,18,IQ2_XS,2.3125,"[4096, 2560]",1310720,8,10,10,4.8200787205132656e-05,4.813396371901035e-05,4.813396371901035e-05,6.682348612230542e-08,6.682348612230542e-08,0.0013863567380739733,0.0013863567380739733,2.5114450454711914
blk.18.ffn_down.weight,model.layers.18.mlp.down_proj.weight,18,IQ3_S,3.44,"[2560, 9728]",3112960,8,24,16,1.0062277866190446e-05,1.0061481704102143e-05,1.0061481704102143e-05,7.961620883035103e-10,7.961620883035103e-10,7.912344489895659e-05,7.912344489895659e-05,8.176631927490234
blk.18.ffn_gate.weight,model.layers.18.mlp.gate_proj.weight,18,IQ2_S,2.5,"[9728, 2560]",3112960,8,24,19,3.5093669468647264e-05,3.508863733977227e-05,3.508863733977227e-05,5.032128874997346e-09,5.032128874997346e-09,0.00014339135665174761,0.00014339135665174761,6.254575967788696
blk.18.ffn_up.weight,model.layers.18.mlp.up_proj.weight,18,IQ2_S,2.5,"[9728, 2560]",3112960,8,24,17,3.4372479651785015e-05,3.436920508791349e-05,3.436920508791349e-05,3.2745638715229834e-09,3.2745638715229834e-09,9.526702480287687e-05,9.526702480287687e-05,6.226599454879761
blk.35.attn_k.weight,model.layers.35.self_attn.k_proj.weight,35,IQ3_XXS,3.0625,"[1024, 2560]",327680,8,3,2,1.5979162708390503e-05,1.5978024021023884e-05,1.5978024021023884e-05,1.1386873666197062e-09,1.1386873666197062e-09,7.126076549816921e-05,7.126076549816921e-05,0.8654959201812744
blk.35.attn_q.weight,model.layers.35.self_attn.q_proj.weight,35,IQ3_XXS,3.0625,"[4096, 2560]",1310720,8,10,10,1.724387120702886e-05,1.723674085951643e-05,1.723674085951643e-05,7.130347512428225e-09,7.130347512428225e-09,0.00041350039250593506,0.00041350039250593506,3.3217005729675293
