layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,62914560,1.2075514602353602e-05,1.206884533454892e-05,1.206884533454892e-05,6.669267804682022e-09,6.669267804682022e-09,0.0005522967777606873,0.0005522967777606873,12.481572151184082
1,4,62914560,9.74841706407048e-06,9.729894884250948e-06,9.729894884250948e-06,1.852217981953148e-08,1.852217981953148e-08,0.0019000192234078968,0.0019000192234078968,11.16848373413086
6,4,62914560,1.3683765174240154e-05,1.3665915961761736e-05,1.3665915961761736e-05,1.784921247841889e-08,1.784921247841889e-08,0.0013044079791737612,0.0013044079791737612,11.234620094299316
7,5,87818240,3.290038464965347e-05,3.279177487741829e-05,3.279177487741829e-05,1.0860977223517995e-07,1.0860977223517995e-07,0.0033011702869657454,0.0033011702869657454,13.56782341003418
14,5,87818240,3.1084402412964106e-05,3.105783025738905e-05,3.105783025738905e-05,2.657215557505722e-08,2.657215557505722e-08,0.0008548388745596409,0.0008548388745596409,13.453429460525513
15,5,87818240,3.0390211542175194e-05,3.0365023708123882e-05,3.0365023708123882e-05,2.518783405131231e-08,2.518783405131231e-08,0.0008288140415329757,0.0008288140415329757,13.415942668914795
16,4,62914560,1.2284830700082238e-05,1.2278512709447872e-05,1.2278512709447872e-05,6.3179906343663545e-09,6.3179906343663545e-09,0.0005142920393948987,0.0005142920393948987,11.114856004714966
17,5,87818240,3.0214784012276876e-05,3.019671079962438e-05,3.019671079962438e-05,1.8073212652495427e-08,1.8073212652495427e-08,0.0005981579297456475,0.0005981579297456475,13.468684196472168
18,5,87818240,2.9663165392477495e-05,2.9644592283528174e-05,2.9644592283528174e-05,1.8573108949321055e-08,1.8573108949321055e-08,0.0006261337488288134,0.0006261337488288134,13.225379943847656
35,4,62914560,1.363365642343221e-05,1.362567029445927e-05,1.362567029445927e-05,7.986128972940415e-09,7.986128972940415e-09,0.0005857657494738263,0.0005857657494738263,10.91971492767334
