gguf_tensor,hf_tensor,layer,qtype,bits_per_weight,shape,vectors,vector_dim,chunks,improved_chunks,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
blk.0.attn_k.weight,model.layers.0.self_attn.k_proj.weight,0,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,1,1.9352226445334964e-05,1.9329589122207835e-05,1.9329589122207835e-05,2.2637323127128184e-08,2.2637323127128184e-08,0.0011697529062649598,0.0011697529062649598,1.3903911113739014
blk.0.attn_q.weight,model.layers.0.self_attn.q_proj.weight,0,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,0,9.717128705233335e-06,9.717128705233335e-06,9.717128705233335e-06,0.0,0.0,0.0,0.0,0.03043222427368164
blk.0.ffn_gate.weight,model.layers.0.mlp.gate_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,1.7221122107002884e-05,1.6810869055916555e-05,1.6810869055916555e-05,4.102530510863289e-07,4.102530510863289e-07,0.023822666637936533,0.023822666637936533,0.03760385513305664
blk.0.ffn_up.weight,model.layers.0.mlp.up_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,1.0659896361175925e-05,1.0441603990329895e-05,1.0441603990329895e-05,2.1829237084602937e-07,2.1829237084602937e-07,0.020477907425166458,0.020477907425166458,0.0367434024810791
blk.7.attn_k.weight,model.layers.7.self_attn.k_proj.weight,7,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,1,4.819513560505584e-05,4.7725716285640374e-05,4.7725716285640374e-05,4.69419319415465e-07,4.69419319415465e-07,0.009739972997735923,0.009739972997735923,0.0452578067779541
blk.7.attn_q.weight,model.layers.7.self_attn.q_proj.weight,7,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,1,5.550554851652123e-05,5.52510391571559e-05,5.52510391571559e-05,2.5450935936532915e-07,2.5450935936532915e-07,0.00458529581577911,0.00458529581577911,0.03375387191772461
blk.7.ffn_down.weight,model.layers.7.mlp.down_proj.weight,7,IQ3_S,3.44,"[2560, 9728]",8192,8,1,0,1.2431391951395199e-05,1.2431391951395199e-05,1.2431391951395199e-05,0.0,0.0,0.0,0.0,0.03509402275085449
blk.7.ffn_gate.weight,model.layers.7.mlp.gate_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,4.933166201226413e-05,4.921172512695193e-05,4.921172512695193e-05,1.199368853121996e-07,1.199368853121996e-07,0.0024312354463626746,0.0024312354463626746,0.0353693962097168
blk.7.ffn_up.weight,model.layers.7.mlp.up_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,3.8263064197963104e-05,3.816592288785614e-05,3.816592288785614e-05,9.714131010696292e-08,9.714131010696292e-08,0.002538774981647553,0.002538774981647553,0.03464651107788086
blk.14.attn_k.weight,model.layers.14.self_attn.k_proj.weight,14,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,1,5.664796844939701e-05,5.6385237257927656e-05,5.6385237257927656e-05,2.627311914693564e-07,2.627311914693564e-07,0.004637963172572574,0.004637963172572574,0.03714752197265625
blk.14.attn_q.weight,model.layers.14.self_attn.q_proj.weight,14,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,1,4.1844028601190075e-05,4.1797356971073896e-05,4.1797356971073896e-05,4.6671630116179585e-08,4.6671630116179585e-08,0.0011153713367563324,0.0011153713367563324,0.03565096855163574
blk.14.ffn_down.weight,model.layers.14.mlp.down_proj.weight,14,IQ3_S,3.44,"[2560, 9728]",8192,8,1,0,2.2900323529029265e-05,2.2900323529029265e-05,2.2900323529029265e-05,0.0,0.0,0.0,0.0,0.044324636459350586
blk.14.ffn_gate.weight,model.layers.14.mlp.gate_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,6.359632970998064e-05,6.340679829008877e-05,6.340679829008877e-05,1.8953141989186406e-07,1.8953141989186406e-07,0.0029802257576213476,0.0029802257576213476,0.03392744064331055
blk.14.ffn_up.weight,model.layers.14.mlp.up_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,3.556433512130752e-05,3.556367664714344e-05,3.556367664714344e-05,6.584741640836e-10,6.584741640836e-10,1.851501403969987e-05,1.851501403969987e-05,0.03415107727050781
blk.35.attn_k.weight,model.layers.35.self_attn.k_proj.weight,35,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,1,1.598449125594925e-05,1.5978497685864568e-05,1.5978497685864568e-05,5.993570084683597e-09,5.993570084683597e-09,0.0003749615792403062,0.0003749615792403062,0.04595828056335449
blk.35.attn_q.weight,model.layers.35.self_attn.q_proj.weight,35,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,0,1.8372791600995697e-05,1.8372791600995697e-05,1.8372791600995697e-05,0.0,0.0,0.0,0.0,0.04143857955932617
blk.35.ffn_gate.weight,model.layers.35.mlp.gate_proj.weight,35,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,8.897535735741258e-06,8.794960194791202e-06,8.794960194791202e-06,1.0257554095005617e-07,1.0257554095005617e-07,0.011528533741990142,0.011528533741990142,0.04514455795288086
blk.35.ffn_up.weight,model.layers.35.mlp.up_proj.weight,35,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,9.02581996342633e-06,9.015649993671104e-06,9.015649993671104e-06,1.0169969755224884e-08,1.0169969755224884e-08,0.0011267640830899333,0.0011267640830899333,0.042162179946899414
