gguf_tensor,hf_tensor,layer,qtype,bits_per_weight,shape,vectors,vector_dim,chunks,improved_chunks,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
blk.0.attn_k.weight,model.layers.0.self_attn.k_proj.weight,0,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,1,1.9352226445334964e-05,1.9339357095304877e-05,1.9339357095304877e-05,1.2869350030086935e-08,1.2869350030086935e-08,0.0006650061721032213,0.0006650061721032213,1.3246567249298096
blk.0.attn_q.weight,model.layers.0.self_attn.q_proj.weight,0,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,1,9.717128705233335e-06,9.717111424834002e-06,9.717111424834002e-06,1.7280399333685637e-11,1.7280399333685637e-11,1.7783441856007283e-06,1.7783441856007283e-06,0.06455826759338379
blk.0.ffn_gate.weight,model.layers.0.mlp.gate_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,1.7221122107002884e-05,1.6621093891444616e-05,1.6621093891444616e-05,6.000282155582681e-07,6.000282155582681e-07,0.03484257366215815,0.03484257366215815,0.07951855659484863
blk.0.ffn_up.weight,model.layers.0.mlp.up_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,1.0659896361175925e-05,1.0315716281183995e-05,1.0315716281183995e-05,3.4418007999192923e-07,3.4418007999192923e-07,0.03228737581778532,0.03228737581778532,0.06456828117370605
blk.7.attn_k.weight,model.layers.7.self_attn.k_proj.weight,7,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,1,4.819513560505584e-05,4.765589255839586e-05,4.765589255839586e-05,5.392430466599762e-07,5.392430466599762e-07,0.011188744255829166,0.011188744255829166,0.056620121002197266
blk.7.attn_q.weight,model.layers.7.self_attn.q_proj.weight,7,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,1,5.550554851652123e-05,5.515236625797115e-05,5.515236625797115e-05,3.531822585500777e-07,3.531822585500777e-07,0.006363008167461906,0.006363008167461906,0.055296897888183594
blk.7.ffn_down.weight,model.layers.7.mlp.down_proj.weight,7,IQ3_S,3.44,"[2560, 9728]",8192,8,1,1,1.2431391951395199e-05,1.2366404916974716e-05,1.2366404916974716e-05,6.498703442048281e-08,6.498703442048281e-08,0.005227655493010917,0.005227655493010917,0.07229900360107422
blk.7.ffn_gate.weight,model.layers.7.mlp.gate_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,4.933166201226413e-05,4.868020550929941e-05,4.868020550929941e-05,6.514565029647201e-07,6.514565029647201e-07,0.01320564676703502,0.01320564676703502,0.06004190444946289
blk.7.ffn_up.weight,model.layers.7.mlp.up_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,3.8263064197963104e-05,3.8022313674446195e-05,3.8022313674446195e-05,2.407505235169083e-07,2.407505235169083e-07,0.006291982321941806,0.006291982321941806,0.05980873107910156
blk.14.attn_k.weight,model.layers.14.self_attn.k_proj.weight,14,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,1,5.664796844939701e-05,5.644986231345683e-05,5.644986231345683e-05,1.9810613594017923e-07,1.9810613594017923e-07,0.00349714458193051,0.00349714458193051,0.05949664115905762
blk.14.attn_q.weight,model.layers.14.self_attn.q_proj.weight,14,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,1,4.1844028601190075e-05,4.177172377239913e-05,4.177172377239913e-05,7.23048287909478e-08,7.23048287909478e-08,0.001727960504952226,0.001727960504952226,0.06252312660217285
blk.14.ffn_down.weight,model.layers.14.mlp.down_proj.weight,14,IQ3_S,3.44,"[2560, 9728]",8192,8,1,1,2.2900323529029265e-05,2.2780879589845426e-05,2.2780879589845426e-05,1.1944393918383867e-07,1.1944393918383867e-07,0.005215818852184655,0.005215818852184655,0.07286572456359863
blk.14.ffn_gate.weight,model.layers.14.mlp.gate_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,6.359632970998064e-05,6.347018643282354e-05,6.347018643282354e-05,1.2614327715709805e-07,1.2614327715709805e-07,0.0019834993266490577,0.0019834993266490577,0.05861711502075195
blk.14.ffn_up.weight,model.layers.14.mlp.up_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,3.556433512130752e-05,3.551619010977447e-05,3.551619010977447e-05,4.814501153305173e-08,4.814501153305173e-08,0.001353744175698277,0.001353744175698277,0.05232977867126465
blk.35.attn_k.weight,model.layers.35.self_attn.k_proj.weight,35,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,1,1.598449125594925e-05,1.598413655301556e-05,1.598413655301556e-05,3.54702933691442e-10,3.54702933691442e-10,2.2190442474009017e-05,2.2190442474009017e-05,0.059761762619018555
blk.35.attn_q.weight,model.layers.35.self_attn.q_proj.weight,35,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,0,1.8372791600995697e-05,1.8372791600995697e-05,1.8372791600995697e-05,0.0,0.0,0.0,0.0,0.06984567642211914
blk.35.ffn_gate.weight,model.layers.35.mlp.gate_proj.weight,35,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,8.897535735741258e-06,8.825698387227021e-06,8.825698387227021e-06,7.183734851423651e-08,7.183734851423651e-08,0.008073847708828753,0.008073847708828753,0.07825398445129395
blk.35.ffn_up.weight,model.layers.35.mlp.up_proj.weight,35,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,9.02581996342633e-06,9.014253009809181e-06,9.014253009809181e-06,1.1566953617148101e-08,1.1566953617148101e-08,0.0012815404765460358,0.0012815404765460358,0.07790899276733398
