gguf_tensor,hf_tensor,layer,qtype,bits_per_weight,shape,vectors,vector_dim,chunks,improved_chunks,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
blk.0.attn_k.weight,model.layers.0.self_attn.k_proj.weight,0,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,0,1.9352226445334964e-05,2.283066714880988e-05,1.9352226445334964e-05,-3.4784407034749165e-06,0.0,-0.17974369581198382,0.0,1.378995418548584
blk.0.attn_q.weight,model.layers.0.self_attn.q_proj.weight,0,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,0,9.717128705233335e-06,1.1568304216780234e-05,9.717128705233335e-06,-1.8511755115468986e-06,0.0,-0.19050643124135164,0.0,0.0343930721282959
blk.0.ffn_gate.weight,model.layers.0.mlp.gate_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,0,1.7221122107002884e-05,1.891013926069718e-05,1.7221122107002884e-05,-1.6890171536942944e-06,0.0,-0.09807822877043906,0.0,0.032071828842163086
blk.0.ffn_up.weight,model.layers.0.mlp.up_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,0,1.0659896361175925e-05,1.182311461889185e-05,1.0659896361175925e-05,-1.1632182577159256e-06,0.0,-0.10912097250330186,0.0,0.03255724906921387
blk.7.attn_k.weight,model.layers.7.self_attn.k_proj.weight,7,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,0,4.819513560505584e-05,5.356517795007676e-05,4.819513560505584e-05,-5.37004234502092e-06,0.0,-0.11142291182717584,0.0,0.025733470916748047
blk.7.attn_q.weight,model.layers.7.self_attn.q_proj.weight,7,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,0,5.550554851652123e-05,6.160825432743877e-05,5.550554851652123e-05,-6.102705810917541e-06,0.0,-0.10994767143146186,0.0,0.026370525360107422
blk.7.ffn_down.weight,model.layers.7.mlp.down_proj.weight,7,IQ3_S,3.44,"[2560, 9728]",8192,8,1,0,1.2431391951395199e-05,1.4712237316416577e-05,1.2431391951395199e-05,-2.280845365021378e-06,0.0,-0.18347465625242346,0.0,0.0328369140625
blk.7.ffn_gate.weight,model.layers.7.mlp.gate_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,0,4.933166201226413e-05,5.5665121180936694e-05,4.933166201226413e-05,-6.333459168672562e-06,0.0,-0.1283852785478427,0.0,0.027391910552978516
blk.7.ffn_up.weight,model.layers.7.mlp.up_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,0,3.8263064197963104e-05,4.3060394091298804e-05,3.8263064197963104e-05,-4.7973298933357e-06,0.0,-0.1253775669537486,0.0,0.027817964553833008
blk.14.attn_k.weight,model.layers.14.self_attn.k_proj.weight,14,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,0,5.664796844939701e-05,6.356078665703535e-05,5.664796844939701e-05,-6.912818207638338e-06,0.0,-0.12203117599554307,0.0,0.026216745376586914
blk.14.attn_q.weight,model.layers.14.self_attn.q_proj.weight,14,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,0,4.1844028601190075e-05,4.7020330384839326e-05,4.1844028601190075e-05,-5.176301783649251e-06,0.0,-0.1237046708141776,0.0,0.026304960250854492
blk.14.ffn_down.weight,model.layers.14.mlp.down_proj.weight,14,IQ3_S,3.44,"[2560, 9728]",8192,8,1,0,2.2900323529029265e-05,2.6608659027260728e-05,2.2900323529029265e-05,-3.708335498231463e-06,0.0,-0.1619337601728921,0.0,0.03406834602355957
blk.14.ffn_gate.weight,model.layers.14.mlp.gate_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",8192,8,1,0,6.359632970998064e-05,7.358589937211946e-05,6.359632970998064e-05,-9.98956966213882e-06,0.0,-0.15707777017470057,0.0,0.025982379913330078
blk.14.ffn_up.weight,model.layers.14.mlp.up_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",8192,8,1,0,3.556433512130752e-05,4.110276495339349e-05,3.556433512130752e-05,-5.538429832085967e-06,0.0,-0.15572988538081087,0.0,0.02766108512878418
blk.35.attn_k.weight,model.layers.35.self_attn.k_proj.weight,35,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,0,1.598449125594925e-05,1.8774266209220514e-05,1.598449125594925e-05,-2.7897749532712623e-06,0.0,-0.17453010600089877,0.0,0.03154325485229492
blk.35.attn_q.weight,model.layers.35.self_attn.q_proj.weight,35,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,0,1.8372791600995697e-05,2.16504922718741e-05,1.8372791600995697e-05,-3.277700670878403e-06,0.0,-0.17839970876830558,0.0,0.030843257904052734
blk.35.ffn_gate.weight,model.layers.35.mlp.gate_proj.weight,35,IQ3_S,3.44,"[9728, 2560]",8192,8,1,0,8.897535735741258e-06,1.0311160622222815e-05,8.897535735741258e-06,-1.413624886481557e-06,0.0,-0.15887824769312797,0.0,0.031871795654296875
blk.35.ffn_up.weight,model.layers.35.mlp.up_proj.weight,35,IQ3_S,3.44,"[9728, 2560]",8192,8,1,0,9.02581996342633e-06,1.0583937182673253e-05,9.02581996342633e-06,-1.558117219246924e-06,0.0,-0.17262888308880478,0.0,0.04282951354980469
