gguf_tensor,hf_tensor,layer,qtype,bits_per_weight,shape,vectors,vector_dim,chunks,improved_chunks,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
blk.0.attn_k.weight,model.layers.0.self_attn.k_proj.weight,0,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,1,1.9352226445334964e-05,1.9320097635500133e-05,1.9320097635500133e-05,3.212880983483046e-08,3.212880983483046e-08,0.0016602125820295687,0.0016602125820295687,1.4109084606170654
blk.0.attn_q.weight,model.layers.0.self_attn.q_proj.weight,0,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,1,9.717128705233335e-06,9.716332897369284e-06,9.716332897369284e-06,7.958078640513122e-10,7.958078640513122e-10,8.189742960003354e-05,8.189742960003354e-05,0.08567142486572266
blk.0.ffn_gate.weight,model.layers.0.mlp.gate_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,1.7221122107002884e-05,1.6818728909129277e-05,1.6818728909129277e-05,4.023931978736073e-07,4.023931978736073e-07,0.023366258910037928,0.023366258910037928,0.09886837005615234
blk.0.ffn_up.weight,model.layers.0.mlp.up_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,1.0659896361175925e-05,1.0320236469851807e-05,1.0320236469851807e-05,3.396598913241178e-07,3.396598913241178e-07,0.03186333898715774,0.03186333898715774,0.09975457191467285
blk.7.attn_k.weight,model.layers.7.self_attn.k_proj.weight,7,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,1,4.819513560505584e-05,4.760581214213744e-05,4.760581214213744e-05,5.893234629184008e-07,5.893234629184008e-07,0.012227861910125608,0.012227861910125608,0.07609724998474121
blk.7.attn_q.weight,model.layers.7.self_attn.q_proj.weight,7,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,1,5.550554851652123e-05,5.525924279936589e-05,5.525924279936589e-05,2.4630571715533733e-07,2.4630571715533733e-07,0.004437497218535268,0.004437497218535268,0.08161449432373047
blk.7.ffn_down.weight,model.layers.7.mlp.down_proj.weight,7,IQ3_S,3.44,"[2560, 9728]",8192,8,1,0,1.2431391951395199e-05,1.2431391951395199e-05,1.2431391951395199e-05,0.0,0.0,0.0,0.0,0.10761356353759766
blk.7.ffn_gate.weight,model.layers.7.mlp.gate_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,4.933166201226413e-05,4.8499547119718045e-05,4.8499547119718045e-05,8.321148925460875e-07,8.321148925460875e-07,0.016867765216165207,0.016867765216165207,0.07623910903930664
blk.7.ffn_up.weight,model.layers.7.mlp.up_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,3.8263064197963104e-05,3.813421426457353e-05,3.813421426457353e-05,1.288499333895743e-07,1.288499333895743e-07,0.003367475556137856,0.003367475556137856,0.06935238838195801
blk.14.attn_k.weight,model.layers.14.self_attn.k_proj.weight,14,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,1,5.664796844939701e-05,5.6442317145410925e-05,5.6442317145410925e-05,2.0565130398608744e-07,2.0565130398608744e-07,0.003630338556091264,0.003630338556091264,0.07944893836975098
blk.14.attn_q.weight,model.layers.14.self_attn.q_proj.weight,14,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,1,4.1844028601190075e-05,4.179323514108546e-05,4.179323514108546e-05,5.0793460104614496e-08,5.0793460104614496e-08,0.0012138759532147412,0.0012138759532147412,0.07440543174743652
blk.14.ffn_down.weight,model.layers.14.mlp.down_proj.weight,14,IQ3_S,3.44,"[2560, 9728]",8192,8,1,1,2.2900323529029265e-05,2.2886584702064283e-05,2.2886584702064283e-05,1.3738826964981854e-08,1.3738826964981854e-08,0.0005999402998637127,0.0005999402998637127,0.09690165519714355
blk.14.ffn_gate.weight,model.layers.14.mlp.gate_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,6.359632970998064e-05,6.341356493066996e-05,6.341356493066996e-05,1.8276477931067348e-07,1.8276477931067348e-07,0.0028738258975657656,0.0028738258975657656,0.07359647750854492
blk.14.ffn_up.weight,model.layers.14.mlp.up_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,3.556433512130752e-05,3.554752402123995e-05,3.554752402123995e-05,1.6811100067570806e-08,1.6811100067570806e-08,0.00047269546893620505,0.00047269546893620505,0.06433272361755371
blk.35.attn_k.weight,model.layers.35.self_attn.k_proj.weight,35,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,0,1.598449125594925e-05,1.598449125594925e-05,1.598449125594925e-05,0.0,0.0,0.0,0.0,0.08960437774658203
