gguf_tensor,hf_tensor,layer,qtype,bits_per_weight,shape,vectors,vector_dim,chunks,improved_chunks,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
blk.0.attn_k.weight,model.layers.0.self_attn.k_proj.weight,0,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,1,1.9352226445334964e-05,1.9327177142258734e-05,1.9327177142258734e-05,2.504930307622999e-08,2.504930307622999e-08,0.0012943886920188637,0.0012943886920188637,1.4213075637817383
blk.0.attn_q.weight,model.layers.0.self_attn.q_proj.weight,0,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,1,9.717128705233335e-06,9.717005923448596e-06,9.717005923448596e-06,1.227817847393453e-10,1.227817847393453e-10,1.2635603424005176e-05,1.2635603424005176e-05,0.03408217430114746
blk.0.ffn_gate.weight,model.layers.0.mlp.gate_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,1.7221122107002884e-05,1.6651662008371204e-05,1.6651662008371204e-05,5.6946009863168e-07,5.6946009863168e-07,0.03306753735867838,0.03306753735867838,0.03708600997924805
blk.0.ffn_up.weight,model.layers.0.mlp.up_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,1.0659896361175925e-05,1.0423850653751288e-05,1.0423850653751288e-05,2.3604570742463693e-07,2.3604570742463693e-07,0.022143339806222847,0.022143339806222847,0.03645920753479004
blk.7.attn_k.weight,model.layers.7.self_attn.k_proj.weight,7,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,1,4.819513560505584e-05,4.8168985813390464e-05,4.8168985813390464e-05,2.6149791665375233e-08,2.6149791665375233e-08,0.0005425815559409284,0.0005425815559409284,0.03358912467956543
blk.7.attn_q.weight,model.layers.7.self_attn.q_proj.weight,7,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,1,5.550554851652123e-05,5.550207424676046e-05,5.550207424676046e-05,3.474269760772586e-09,3.474269760772586e-09,6.259319750238068e-05,6.259319750238068e-05,0.03497481346130371
blk.7.ffn_down.weight,model.layers.7.mlp.down_proj.weight,7,IQ3_S,3.44,"[2560, 9728]",8192,8,1,0,1.2431391951395199e-05,1.2431391951395199e-05,1.2431391951395199e-05,0.0,0.0,0.0,0.0,0.03597450256347656
blk.7.ffn_gate.weight,model.layers.7.mlp.gate_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,4.933166201226413e-05,4.859864566242322e-05,4.859864566242322e-05,7.330163498409092e-07,7.330163498409092e-07,0.014858942916998767,0.014858942916998767,0.0334010124206543
blk.7.ffn_up.weight,model.layers.7.mlp.up_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,3.8263064197963104e-05,3.816408207057975e-05,3.816408207057975e-05,9.898212738335133e-08,9.898212738335133e-08,0.0025868844918233323,0.0025868844918233323,0.03142380714416504
blk.14.attn_k.weight,model.layers.14.self_attn.k_proj.weight,14,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,0,5.664796844939701e-05,5.664796844939701e-05,5.664796844939701e-05,0.0,0.0,0.0,0.0,0.036255598068237305
blk.14.attn_q.weight,model.layers.14.self_attn.q_proj.weight,14,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,1,4.1844028601190075e-05,4.1836872696876526e-05,4.1836872696876526e-05,7.155904313549399e-09,7.155904313549399e-09,0.00017101375160961151,0.00017101375160961151,0.053099870681762695
blk.14.ffn_down.weight,model.layers.14.mlp.down_proj.weight,14,IQ3_S,3.44,"[2560, 9728]",8192,8,1,0,2.2900323529029265e-05,2.2900323529029265e-05,2.2900323529029265e-05,0.0,0.0,0.0,0.0,0.02991008758544922
blk.14.ffn_gate.weight,model.layers.14.mlp.gate_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,6.359632970998064e-05,6.351095362333581e-05,6.351095362333581e-05,8.537608664482832e-08,8.537608664482832e-08,0.0013424687719270948,0.0013424687719270948,0.028681516647338867
blk.14.ffn_up.weight,model.layers.14.mlp.up_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",8192,8,1,0,3.556433512130752e-05,3.556433512130752e-05,3.556433512130752e-05,0.0,0.0,0.0,0.0,0.03023362159729004
blk.35.attn_k.weight,model.layers.35.self_attn.k_proj.weight,35,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,0,1.598449125594925e-05,1.598449125594925e-05,1.598449125594925e-05,0.0,0.0,0.0,0.0,0.03380751609802246
blk.35.attn_q.weight,model.layers.35.self_attn.q_proj.weight,35,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,0,1.8372791600995697e-05,1.8372791600995697e-05,1.8372791600995697e-05,0.0,0.0,0.0,0.0,0.036515235900878906
blk.35.ffn_gate.weight,model.layers.35.mlp.gate_proj.weight,35,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,8.897535735741258e-06,8.773195077083074e-06,8.773195077083074e-06,1.243406586581841e-07,1.243406586581841e-07,0.01397472989725792,0.01397472989725792,0.0423731803894043
blk.35.ffn_up.weight,model.layers.35.mlp.up_proj.weight,35,IQ3_S,3.44,"[9728, 2560]",8192,8,1,0,9.02581996342633e-06,9.02581996342633e-06,9.02581996342633e-06,0.0,0.0,0.0,0.0,0.03809785842895508
