gguf_tensor,hf_tensor,layer,qtype,bits_per_weight,shape,vectors,vector_dim,chunks,improved_chunks,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
blk.0.attn_k.weight,model.layers.0.self_attn.k_proj.weight,0,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,1,1.9352226445334964e-05,1.9329589122207835e-05,1.9329589122207835e-05,2.2637323127128184e-08,2.2637323127128184e-08,0.0011697529062649598,0.0011697529062649598,1.4907479286193848
blk.0.attn_q.weight,model.layers.0.self_attn.q_proj.weight,0,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,0,9.717128705233335e-06,9.717128705233335e-06,9.717128705233335e-06,0.0,0.0,0.0,0.0,0.06682348251342773
blk.0.ffn_gate.weight,model.layers.0.mlp.gate_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,1.7221122107002884e-05,1.6810869055916555e-05,1.6810869055916555e-05,4.102530510863289e-07,4.102530510863289e-07,0.023822666637936533,0.023822666637936533,0.06602358818054199
blk.0.ffn_up.weight,model.layers.0.mlp.up_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,1.0659896361175925e-05,1.0331928024243098e-05,1.0331928024243098e-05,3.279683369328268e-07,3.279683369328268e-07,0.030766559619407746,0.030766559619407746,0.054389238357543945
blk.7.attn_k.weight,model.layers.7.self_attn.k_proj.weight,7,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,1,4.819513560505584e-05,4.7725716285640374e-05,4.7725716285640374e-05,4.69419319415465e-07,4.69419319415465e-07,0.009739972997735923,0.009739972997735923,0.04241180419921875
blk.7.attn_q.weight,model.layers.7.self_attn.q_proj.weight,7,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,1,5.550554851652123e-05,5.523008439922705e-05,5.523008439922705e-05,2.754641172941774e-07,2.754641172941774e-07,0.004962821279248965,0.004962821279248965,0.05190587043762207
blk.7.ffn_down.weight,model.layers.7.mlp.down_proj.weight,7,IQ3_S,3.44,"[2560, 9728]",8192,8,1,0,1.2431391951395199e-05,1.2431391951395199e-05,1.2431391951395199e-05,0.0,0.0,0.0,0.0,0.05205893516540527
blk.7.ffn_gate.weight,model.layers.7.mlp.gate_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,4.933166201226413e-05,4.879488187725656e-05,4.879488187725656e-05,5.367801350075752e-07,5.367801350075752e-07,0.01088104704183955,0.01088104704183955,0.05150461196899414
blk.7.ffn_up.weight,model.layers.7.mlp.up_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,3.8263064197963104e-05,3.811676288023591e-05,3.811676288023591e-05,1.4630131772719324e-07,1.4630131772719324e-07,0.003823565121974247,0.003823565121974247,0.05123424530029297
blk.14.attn_k.weight,model.layers.14.self_attn.k_proj.weight,14,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,1,5.664796844939701e-05,5.6385237257927656e-05,5.6385237257927656e-05,2.627311914693564e-07,2.627311914693564e-07,0.004637963172572574,0.004637963172572574,0.0577998161315918
blk.14.attn_q.weight,model.layers.14.self_attn.q_proj.weight,14,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,1,4.1844028601190075e-05,4.1797356971073896e-05,4.1797356971073896e-05,4.6671630116179585e-08,4.6671630116179585e-08,0.0011153713367563324,0.0011153713367563324,0.05249619483947754
blk.14.ffn_down.weight,model.layers.14.mlp.down_proj.weight,14,IQ3_S,3.44,"[2560, 9728]",8192,8,1,1,2.2900323529029265e-05,2.2887570594321005e-05,2.2887570594321005e-05,1.275293470826e-08,1.275293470826e-08,0.0005568888444782854,0.0005568888444782854,0.0698084831237793
blk.14.ffn_gate.weight,model.layers.14.mlp.gate_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,6.359632970998064e-05,6.340679829008877e-05,6.340679829008877e-05,1.8953141989186406e-07,1.8953141989186406e-07,0.0029802257576213476,0.0029802257576213476,0.05221390724182129
blk.14.ffn_up.weight,model.layers.14.mlp.up_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,3.556433512130752e-05,3.556367664714344e-05,3.556367664714344e-05,6.584741640836e-10,6.584741640836e-10,1.851501403969987e-05,1.851501403969987e-05,0.054871559143066406
blk.35.attn_k.weight,model.layers.35.self_attn.k_proj.weight,35,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,1,1.598449125594925e-05,1.5977399016264826e-05,1.5977399016264826e-05,7.092239684425294e-09,7.092239684425294e-09,0.000443695052339288,0.000443695052339288,0.06499576568603516
blk.35.attn_q.weight,model.layers.35.self_attn.q_proj.weight,35,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,1,1.8372791600995697e-05,1.837246963987127e-05,1.837246963987127e-05,3.219611244276166e-10,3.219611244276166e-10,1.752379994394364e-05,1.752379994394364e-05,0.06353974342346191
blk.35.ffn_gate.weight,model.layers.35.mlp.gate_proj.weight,35,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,8.897535735741258e-06,8.786322723608464e-06,8.786322723608464e-06,1.1121301213279366e-07,1.1121301213279366e-07,0.012499304912713392,0.012499304912713392,0.057813167572021484
blk.35.ffn_up.weight,model.layers.35.mlp.up_proj.weight,35,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,9.02581996342633e-06,9.015649993671104e-06,9.015649993671104e-06,1.0169969755224884e-08,1.0169969755224884e-08,0.0011267640830899333,0.0011267640830899333,0.17197871208190918
