gguf_tensor,hf_tensor,layer,qtype,bits_per_weight,shape,vectors,vector_dim,chunks,improved_chunks,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
blk.0.attn_k.weight,model.layers.0.self_attn.k_proj.weight,0,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,0,1.9352226445334964e-05,1.9352226445334964e-05,1.9352226445334964e-05,0.0,0.0,0.0,0.0,1.3560819625854492
blk.0.attn_q.weight,model.layers.0.self_attn.q_proj.weight,0,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,1,9.717128705233335e-06,9.717087777971756e-06,9.717087777971756e-06,4.092726157978177e-11,4.092726157978177e-11,4.211867808001725e-06,4.211867808001725e-06,0.05891919136047363
blk.0.ffn_gate.weight,model.layers.0.mlp.gate_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,1.7221122107002884e-05,1.695744867902249e-05,1.695744867902249e-05,2.6367342798039317e-07,2.6367342798039317e-07,0.01531104804565387,0.01531104804565387,0.06935238838195801
blk.0.ffn_up.weight,model.layers.0.mlp.up_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,1.0659896361175925e-05,1.0406196452095173e-05,1.0406196452095173e-05,2.5369990908075124e-07,2.5369990908075124e-07,0.023799472385561248,0.023799472385561248,0.05402183532714844
blk.7.attn_k.weight,model.layers.7.self_attn.k_proj.weight,7,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,1,4.819513560505584e-05,4.814317071577534e-05,4.814317071577534e-05,5.196488928049803e-08,5.196488928049803e-08,0.0010782185510656956,0.0010782185510656956,0.030146360397338867
blk.7.attn_q.weight,model.layers.7.self_attn.q_proj.weight,7,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,0,5.550554851652123e-05,5.550554851652123e-05,5.550554851652123e-05,0.0,0.0,0.0,0.0,0.0304872989654541
blk.7.ffn_down.weight,model.layers.7.mlp.down_proj.weight,7,IQ3_S,3.44,"[2560, 9728]",8192,8,1,0,1.2431391951395199e-05,1.2431391951395199e-05,1.2431391951395199e-05,0.0,0.0,0.0,0.0,0.037954092025756836
blk.7.ffn_gate.weight,model.layers.7.mlp.gate_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,4.933166201226413e-05,4.907067705062218e-05,4.907067705062218e-05,2.609849616419524e-07,2.609849616419524e-07,0.0052904149383223706,0.0052904149383223706,0.042621612548828125
blk.7.ffn_up.weight,model.layers.7.mlp.up_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,3.8263064197963104e-05,3.803630534093827e-05,3.803630534093827e-05,2.2675885702483356e-07,2.2675885702483356e-07,0.005926312013372542,0.005926312013372542,0.04483675956726074
blk.14.attn_k.weight,model.layers.14.self_attn.k_proj.weight,14,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,0,5.664796844939701e-05,5.664796844939701e-05,5.664796844939701e-05,0.0,0.0,0.0,0.0,0.040069580078125
blk.14.attn_q.weight,model.layers.14.self_attn.q_proj.weight,14,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,1,4.1844028601190075e-05,4.1843177314149216e-05,4.1843177314149216e-05,8.512870408594608e-10,8.512870408594608e-10,2.0344289718682815e-05,2.0344289718682815e-05,0.05013632774353027
blk.14.ffn_down.weight,model.layers.14.mlp.down_proj.weight,14,IQ3_S,3.44,"[2560, 9728]",8192,8,1,0,2.2900323529029265e-05,2.2900323529029265e-05,2.2900323529029265e-05,0.0,0.0,0.0,0.0,0.05322074890136719
blk.14.ffn_gate.weight,model.layers.14.mlp.gate_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",8192,8,1,0,6.359632970998064e-05,6.359632970998064e-05,6.359632970998064e-05,0.0,0.0,0.0,0.0,0.05791354179382324
blk.14.ffn_up.weight,model.layers.14.mlp.up_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,3.556433512130752e-05,3.5475994081934914e-05,3.5475994081934914e-05,8.834103937260807e-08,8.834103937260807e-08,0.002483978375281945,0.002483978375281945,0.03411507606506348
blk.35.attn_k.weight,model.layers.35.self_attn.k_proj.weight,35,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,1,1.598449125594925e-05,1.598152630322147e-05,1.598152630322147e-05,2.964952727779746e-09,2.964952727779746e-09,0.00018548933965453692,0.00018548933965453692,0.038181304931640625
blk.35.attn_q.weight,model.layers.35.self_attn.q_proj.weight,35,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,0,1.8372791600995697e-05,1.8372791600995697e-05,1.8372791600995697e-05,0.0,0.0,0.0,0.0,0.05440354347229004
blk.35.ffn_gate.weight,model.layers.35.mlp.gate_proj.weight,35,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,8.897535735741258e-06,8.833791071083397e-06,8.833791071083397e-06,6.3744664657861e-08,6.3744664657861e-08,0.007164305550558196,0.007164305550558196,0.04514479637145996
blk.35.ffn_up.weight,model.layers.35.mlp.up_proj.weight,35,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,9.02581996342633e-06,9.023766324389726e-06,9.023766324389726e-06,2.053639036603272e-09,2.053639036603272e-09,0.00022752935965096311,0.00022752935965096311,0.044814348220825195
