gguf_tensor,hf_tensor,layer,qtype,bits_per_weight,shape,vectors,vector_dim,chunks,improved_chunks,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
blk.0.attn_k.weight,model.layers.0.self_attn.k_proj.weight,0,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,1,1.9352226445334964e-05,1.9322638763696887e-05,1.9322638763696887e-05,2.95876816380769e-08,2.95876816380769e-08,0.0015289032361033214,0.0015289032361033214,1.331207513809204
blk.0.attn_q.weight,model.layers.0.self_attn.q_proj.weight,0,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,0,9.717128705233335e-06,9.717128705233335e-06,9.717128705233335e-06,0.0,0.0,0.0,0.0,0.028932571411132812
blk.0.ffn_gate.weight,model.layers.0.mlp.gate_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,1.7221122107002884e-05,1.6716900063329376e-05,1.6716900063329376e-05,5.042220436735079e-07,5.042220436735079e-07,0.02927927927927928,0.02927927927927928,0.0312042236328125
blk.0.ffn_up.weight,model.layers.0.mlp.up_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,1.0659896361175925e-05,1.0340425433241762e-05,1.0340425433241762e-05,3.194709279341623e-07,3.194709279341623e-07,0.029969421569396998,0.029969421569396998,0.03532600402832031
blk.7.attn_k.weight,model.layers.7.self_attn.k_proj.weight,7,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,1,4.819513560505584e-05,4.7488720156252384e-05,4.7488720156252384e-05,7.064154488034546e-07,7.064154488034546e-07,0.0146574014147882,0.0146574014147882,0.028328895568847656
blk.7.attn_q.weight,model.layers.7.self_attn.q_proj.weight,7,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,1,5.550554851652123e-05,5.500518454937264e-05,5.500518454937264e-05,5.003639671485871e-07,5.003639671485871e-07,0.009014665750031346,0.009014665750031346,0.03239607810974121
blk.7.ffn_down.weight,model.layers.7.mlp.down_proj.weight,7,IQ3_S,3.44,"[2560, 9728]",8192,8,1,0,1.2431391951395199e-05,1.2431391951395199e-05,1.2431391951395199e-05,0.0,0.0,0.0,0.0,0.03910517692565918
blk.7.ffn_gate.weight,model.layers.7.mlp.gate_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,4.933166201226413e-05,4.8926529416348785e-05,4.8926529416348785e-05,4.0513259591534734e-07,4.0513259591534734e-07,0.008212425436115027,0.008212425436115027,0.03176093101501465
blk.7.ffn_up.weight,model.layers.7.mlp.up_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,3.8263064197963104e-05,3.815661330008879e-05,3.815661330008879e-05,1.0645089787431061e-07,1.0645089787431061e-07,0.002782079796943639,0.002782079796943639,0.03217816352844238
blk.14.attn_k.weight,model.layers.14.self_attn.k_proj.weight,14,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,1,5.664796844939701e-05,5.6359771406278014e-05,5.6359771406278014e-05,2.881970431189984e-07,2.881970431189984e-07,0.005087508890569334,0.005087508890569334,0.03196287155151367
blk.14.attn_q.weight,model.layers.14.self_attn.q_proj.weight,14,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,1,4.1844028601190075e-05,4.172151238890365e-05,4.172151238890365e-05,1.2251621228642762e-07,1.2251621228642762e-07,0.0029279258327182954,0.0029279258327182954,0.0329587459564209
blk.14.ffn_down.weight,model.layers.14.mlp.down_proj.weight,14,IQ3_S,3.44,"[2560, 9728]",8192,8,1,1,2.2900323529029265e-05,2.2792411982663907e-05,2.2792411982663907e-05,1.0791154636535794e-07,1.0791154636535794e-07,0.004712228027196446,0.004712228027196446,0.03924250602722168
blk.14.ffn_gate.weight,model.layers.14.mlp.gate_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,6.359632970998064e-05,6.345075962599367e-05,6.345075962599367e-05,1.455700839869678e-07,1.455700839869678e-07,0.002288969892615083,0.002288969892615083,0.03527379035949707
blk.14.ffn_up.weight,model.layers.14.mlp.up_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,3.556433512130752e-05,3.5475994081934914e-05,3.5475994081934914e-05,8.834103937260807e-08,8.834103937260807e-08,0.002483978375281945,0.002483978375281945,0.03122735023498535
blk.35.attn_k.weight,model.layers.35.self_attn.k_proj.weight,35,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,1,1.598449125594925e-05,1.5980394891812466e-05,1.5980394891812466e-05,4.096364136785269e-09,4.096364136785269e-09,0.00025627116128958106,0.00025627116128958106,0.03769564628601074
blk.35.attn_q.weight,model.layers.35.self_attn.q_proj.weight,35,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,1,1.8372791600995697e-05,1.836892988649197e-05,1.836892988649197e-05,3.861714503727853e-09,3.861714503727853e-09,0.00021018659480786638,0.00021018659480786638,0.03721809387207031
blk.35.ffn_gate.weight,model.layers.35.mlp.gate_proj.weight,35,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,8.897535735741258e-06,8.806959158391692e-06,8.806959158391692e-06,9.057657734956592e-08,9.057657734956592e-08,0.010179962187251609,0.010179962187251609,0.03849029541015625
blk.35.ffn_up.weight,model.layers.35.mlp.up_proj.weight,35,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,9.02581996342633e-06,9.022693120641634e-06,9.022693120641634e-06,3.1268427846953273e-09,3.1268427846953273e-09,0.0003464330994154168,0.0003464330994154168,0.038291215896606445
