gguf_tensor,hf_tensor,layer,qtype,bits_per_weight,shape,vectors,vector_dim,chunks,improved_chunks,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
blk.0.attn_k.weight,model.layers.0.self_attn.k_proj.weight,0,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,1,1.9352226445334964e-05,1.9339899154147133e-05,1.9339899154147133e-05,1.232729118783027e-08,1.232729118783027e-08,0.0006369960181404284,0.0006369960181404284,1.3139057159423828
blk.0.attn_q.weight,model.layers.0.self_attn.q_proj.weight,0,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,1,9.717128705233335e-06,9.716332897369284e-06,9.716332897369284e-06,7.958078640513122e-10,7.958078640513122e-10,8.189742960003354e-05,8.189742960003354e-05,0.03281426429748535
blk.0.ffn_gate.weight,model.layers.0.mlp.gate_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,1.7221122107002884e-05,1.6777601558715105e-05,1.6777601558715105e-05,4.435205482877791e-07,4.435205482877791e-07,0.025754451163633736,0.025754451163633736,0.0406804084777832
blk.0.ffn_up.weight,model.layers.0.mlp.up_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,1.0659896361175925e-05,1.0408459274913184e-05,1.0408459274913184e-05,2.514370862627402e-07,2.514370862627402e-07,0.02358719801240201,0.02358719801240201,0.032059431076049805
blk.7.attn_k.weight,model.layers.7.self_attn.k_proj.weight,7,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,1,4.819513560505584e-05,4.7888956032693386e-05,4.7888956032693386e-05,3.0617957236245275e-07,3.0617957236245275e-07,0.00635291442836678,0.00635291442836678,0.023928403854370117
blk.7.attn_q.weight,model.layers.7.self_attn.q_proj.weight,7,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,1,5.550554851652123e-05,5.549207708099857e-05,5.549207708099857e-05,1.3471435522660613e-08,1.3471435522660613e-08,0.00024270430403279124,0.00024270430403279124,0.024989604949951172
blk.7.ffn_down.weight,model.layers.7.mlp.down_proj.weight,7,IQ3_S,3.44,"[2560, 9728]",8192,8,1,0,1.2431391951395199e-05,1.2431391951395199e-05,1.2431391951395199e-05,0.0,0.0,0.0,0.0,0.051795244216918945
blk.7.ffn_gate.weight,model.layers.7.mlp.gate_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,4.933166201226413e-05,4.919087223242968e-05,4.919087223242968e-05,1.407897798344493e-07,1.407897798344493e-07,0.0028539435748069497,0.0028539435748069497,0.028125524520874023
blk.7.ffn_up.weight,model.layers.7.mlp.up_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,3.8263064197963104e-05,3.8261110603343695e-05,3.8261110603343695e-05,1.95359461940825e-09,1.95359461940825e-09,5.105693075967103e-05,5.105693075967103e-05,0.0287017822265625
blk.14.attn_k.weight,model.layers.14.self_attn.k_proj.weight,14,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,1,5.664796844939701e-05,5.65160735277459e-05,5.65160735277459e-05,1.3189492165111005e-07,1.3189492165111005e-07,0.0023283257151389338,0.0023283257151389338,0.07982039451599121
blk.14.attn_q.weight,model.layers.14.self_attn.q_proj.weight,14,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,1,4.1844028601190075e-05,4.173016350250691e-05,4.173016350250691e-05,1.1386509868316352e-07,1.1386509868316352e-07,0.0027211791619874076,0.0027211791619874076,0.031455039978027344
blk.14.ffn_down.weight,model.layers.14.mlp.down_proj.weight,14,IQ3_S,3.44,"[2560, 9728]",8192,8,1,0,2.2900323529029265e-05,2.2900323529029265e-05,2.2900323529029265e-05,0.0,0.0,0.0,0.0,0.034554481506347656
blk.14.ffn_gate.weight,model.layers.14.mlp.gate_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,6.359632970998064e-05,6.351675256155431e-05,6.351675256155431e-05,7.957714842632413e-08,7.957714842632413e-08,0.0012512852359439779,0.0012512852359439779,0.028780221939086914
blk.14.ffn_up.weight,model.layers.14.mlp.up_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,3.556433512130752e-05,3.550115798134357e-05,3.550115798134357e-05,6.317713996395469e-08,6.317713996395469e-08,0.0017764184188587182,0.0017764184188587182,0.029946088790893555
blk.35.attn_k.weight,model.layers.35.self_attn.k_proj.weight,35,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,0,1.598449125594925e-05,1.598449125594925e-05,1.598449125594925e-05,0.0,0.0,0.0,0.0,0.028766632080078125
blk.35.attn_q.weight,model.layers.35.self_attn.q_proj.weight,35,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,0,1.8372791600995697e-05,1.8372791600995697e-05,1.8372791600995697e-05,0.0,0.0,0.0,0.0,0.03412818908691406
blk.35.ffn_gate.weight,model.layers.35.mlp.gate_proj.weight,35,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,8.897535735741258e-06,8.815601177047938e-06,8.815601177047938e-06,8.193455869331956e-08,8.193455869331956e-08,0.009208679922935264,0.009208679922935264,0.04443073272705078
blk.35.ffn_up.weight,model.layers.35.mlp.up_proj.weight,35,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,9.02581996342633e-06,9.023071470437571e-06,9.023071470437571e-06,2.748492988757789e-09,2.748492988757789e-09,0.00030451449285438906,0.00030451449285438906,0.036899566650390625
