gguf_tensor,hf_tensor,layer,qtype,bits_per_weight,shape,vectors,vector_dim,chunks,improved_chunks,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
blk.0.attn_k.weight,model.layers.0.self_attn.k_proj.weight,0,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,1,1.9352226445334964e-05,1.9329589122207835e-05,1.9329589122207835e-05,2.2637323127128184e-08,2.2637323127128184e-08,0.0011697529062649598,0.0011697529062649598,1.363588571548462
blk.0.attn_q.weight,model.layers.0.self_attn.q_proj.weight,0,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,0,9.717128705233335e-06,9.717128705233335e-06,9.717128705233335e-06,0.0,0.0,0.0,0.0,0.036744117736816406
blk.0.ffn_gate.weight,model.layers.0.mlp.gate_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,1.7221122107002884e-05,1.6833040717756376e-05,1.6833040717756376e-05,3.880813892465085e-07,3.880813892465085e-07,0.022535197580922855,0.022535197580922855,0.044539690017700195
blk.0.ffn_up.weight,model.layers.0.mlp.up_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,1.0659896361175925e-05,1.0402640327811241e-05,1.0402640327811241e-05,2.572560333646834e-07,2.572560333646834e-07,0.024133070777463423,0.024133070777463423,0.03458857536315918
blk.7.attn_k.weight,model.layers.7.self_attn.k_proj.weight,7,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,1,4.819513560505584e-05,4.777646972797811e-05,4.777646972797811e-05,4.186658770777285e-07,4.186658770777285e-07,0.008686890737450461,0.008686890737450461,0.029303312301635742
blk.7.attn_q.weight,model.layers.7.self_attn.q_proj.weight,7,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,1,5.550554851652123e-05,5.511657218448818e-05,5.511657218448818e-05,3.8897633203305304e-07,3.8897633203305304e-07,0.007007881958274392,0.007007881958274392,0.02976536750793457
blk.7.ffn_down.weight,model.layers.7.mlp.down_proj.weight,7,IQ3_S,3.44,"[2560, 9728]",8192,8,1,0,1.2431391951395199e-05,1.2431391951395199e-05,1.2431391951395199e-05,0.0,0.0,0.0,0.0,0.037256717681884766
blk.7.ffn_gate.weight,model.layers.7.mlp.gate_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,4.933166201226413e-05,4.920102219330147e-05,4.920102219330147e-05,1.306398189626634e-07,1.306398189626634e-07,0.002648194154297611,0.002648194154297611,0.031357526779174805
blk.7.ffn_up.weight,model.layers.7.mlp.up_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,3.8263064197963104e-05,3.816778553300537e-05,3.816778553300537e-05,9.527866495773196e-08,9.527866495773196e-08,0.0024900950029716653,0.0024900950029716653,0.03152346611022949
blk.14.attn_k.weight,model.layers.14.self_attn.k_proj.weight,14,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,1,5.664796844939701e-05,5.642643372993916e-05,5.642643372993916e-05,2.2153471945784986e-07,2.2153471945784986e-07,0.003910726642487529,0.003910726642487529,0.02939605712890625
blk.14.attn_q.weight,model.layers.14.self_attn.q_proj.weight,14,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,1,4.1844028601190075e-05,4.179222014499828e-05,4.179222014499828e-05,5.1808456191793084e-08,5.1808456191793084e-08,0.001238132606340863,0.001238132606340863,0.032282352447509766
blk.14.ffn_down.weight,model.layers.14.mlp.down_proj.weight,14,IQ3_S,3.44,"[2560, 9728]",8192,8,1,0,2.2900323529029265e-05,2.2900323529029265e-05,2.2900323529029265e-05,0.0,0.0,0.0,0.0,0.0373377799987793
blk.14.ffn_gate.weight,model.layers.14.mlp.gate_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,6.359632970998064e-05,6.340679829008877e-05,6.340679829008877e-05,1.8953141989186406e-07,1.8953141989186406e-07,0.0029802257576213476,0.0029802257576213476,0.030522584915161133
blk.14.ffn_up.weight,model.layers.14.mlp.up_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,3.556433512130752e-05,3.5560016840463504e-05,3.5560016840463504e-05,4.318280844017863e-09,4.318280844017863e-09,0.00012142166665814225,0.00012142166665814225,0.06422686576843262
blk.35.attn_k.weight,model.layers.35.self_attn.k_proj.weight,35,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,1,1.598449125594925e-05,1.5978623196133412e-05,1.5978623196133412e-05,5.868059815838933e-09,5.868059815838933e-09,0.0003671095765187338,0.0003671095765187338,0.03808164596557617
blk.35.attn_q.weight,model.layers.35.self_attn.q_proj.weight,35,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,0,1.8372791600995697e-05,1.8372791600995697e-05,1.8372791600995697e-05,0.0,0.0,0.0,0.0,0.029282331466674805
blk.35.ffn_gate.weight,model.layers.35.mlp.gate_proj.weight,35,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,8.897535735741258e-06,8.791893378656823e-06,8.791893378656823e-06,1.0564235708443448e-07,1.0564235708443448e-07,0.011873215261172914,0.011873215261172914,0.03224754333496094
blk.35.ffn_up.weight,model.layers.35.mlp.up_proj.weight,35,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,9.02581996342633e-06,9.01490420801565e-06,9.01490420801565e-06,1.0915755410678685e-08,1.0915755410678685e-08,0.001209392105638113,0.001209392105638113,0.041287899017333984
