gguf_tensor,hf_tensor,layer,qtype,bits_per_weight,shape,vectors,vector_dim,chunks,improved_chunks,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
blk.0.attn_k.weight,model.layers.0.self_attn.k_proj.weight,0,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,1,1.9352226445334964e-05,1.931769475049805e-05,1.931769475049805e-05,3.453169483691454e-08,3.453169483691454e-08,0.0017843783987572515,0.0017843783987572515,1.3178167343139648
blk.0.attn_q.weight,model.layers.0.self_attn.q_proj.weight,0,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,1,9.717128705233335e-06,9.716119166114368e-06,9.716119166114368e-06,1.0095391189679503e-09,1.0095391189679503e-09,0.00010389273926404256,0.00010389273926404256,0.04029679298400879
blk.0.ffn_gate.weight,model.layers.0.mlp.gate_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,1.7221122107002884e-05,1.677253021625802e-05,1.677253021625802e-05,4.4859189074486494e-07,4.4859189074486494e-07,0.026048935020468105,0.026048935020468105,0.0409550666809082
blk.0.ffn_up.weight,model.layers.0.mlp.up_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,1.0659896361175925e-05,1.0428711902932264e-05,1.0428711902932264e-05,2.3118445824366063e-07,2.3118445824366063e-07,0.02168730824491412,0.02168730824491412,0.041349172592163086
blk.7.attn_k.weight,model.layers.7.self_attn.k_proj.weight,7,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,1,4.819513560505584e-05,4.7679095587227494e-05,4.7679095587227494e-05,5.160400178283453e-07,5.160400178283453e-07,0.010707305028813134,0.010707305028813134,0.03300833702087402
blk.7.attn_q.weight,model.layers.7.self_attn.q_proj.weight,7,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,1,5.550554851652123e-05,5.52366764168255e-05,5.52366764168255e-05,2.6887209969572723e-07,2.6887209969572723e-07,0.004844058060532406,0.004844058060532406,0.033417463302612305
blk.7.ffn_down.weight,model.layers.7.mlp.down_proj.weight,7,IQ3_S,3.44,"[2560, 9728]",8192,8,1,0,1.2431391951395199e-05,1.2431391951395199e-05,1.2431391951395199e-05,0.0,0.0,0.0,0.0,0.039600372314453125
blk.7.ffn_gate.weight,model.layers.7.mlp.gate_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,4.933166201226413e-05,4.917135811410844e-05,4.917135811410844e-05,1.6030389815568924e-07,1.6030389815568924e-07,0.0032495134284313545,0.0032495134284313545,0.03312087059020996
blk.7.ffn_up.weight,model.layers.7.mlp.up_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,3.8263064197963104e-05,3.815661330008879e-05,3.815661330008879e-05,1.0645089787431061e-07,1.0645089787431061e-07,0.002782079796943639,0.002782079796943639,0.03426957130432129
blk.14.attn_k.weight,model.layers.14.self_attn.k_proj.weight,14,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,1,5.664796844939701e-05,5.6376906286459416e-05,5.6376906286459416e-05,2.7106216293759644e-07,2.7106216293759644e-07,0.004785028843174371,0.004785028843174371,0.03268074989318848
blk.14.attn_q.weight,model.layers.14.self_attn.q_proj.weight,14,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,1,4.1844028601190075e-05,4.178345261607319e-05,4.178345261607319e-05,6.057598511688411e-08,6.057598511688411e-08,0.0014476614021614851,0.0014476614021614851,0.03409075736999512
blk.14.ffn_down.weight,model.layers.14.mlp.down_proj.weight,14,IQ3_S,3.44,"[2560, 9728]",8192,8,1,0,2.2900323529029265e-05,2.2900323529029265e-05,2.2900323529029265e-05,0.0,0.0,0.0,0.0,0.039209842681884766
blk.14.ffn_gate.weight,model.layers.14.mlp.gate_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,6.359632970998064e-05,6.3551269704476e-05,6.3551269704476e-05,4.5060005504637957e-08,4.5060005504637957e-08,0.0007085315412088374,0.0007085315412088374,0.027338504791259766
blk.14.ffn_up.weight,model.layers.14.mlp.up_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,3.556433512130752e-05,3.5563880373956636e-05,3.5563880373956636e-05,4.547473508864641e-10,4.547473508864641e-10,1.2786611905870077e-05,1.2786611905870077e-05,0.030176639556884766
blk.35.attn_k.weight,model.layers.35.self_attn.k_proj.weight,35,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,1,1.598449125594925e-05,1.5978686860762537e-05,1.5978686860762537e-05,5.804395186714828e-09,5.804395186714828e-09,0.00036312667658750143,0.00036312667658750143,0.06243276596069336
blk.35.attn_q.weight,model.layers.35.self_attn.q_proj.weight,35,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,0,1.8372791600995697e-05,1.8372791600995697e-05,1.8372791600995697e-05,0.0,0.0,0.0,0.0,0.03289079666137695
blk.35.ffn_gate.weight,model.layers.35.mlp.gate_proj.weight,35,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,8.897535735741258e-06,8.797079317446332e-06,8.797079317446332e-06,1.0045641829492524e-07,1.0045641829492524e-07,0.011290364127608213,0.011290364127608213,0.1051485538482666
blk.35.ffn_up.weight,model.layers.35.mlp.up_proj.weight,35,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,9.02581996342633e-06,9.017611773742829e-06,9.017611773742829e-06,8.208189683500677e-09,8.208189683500677e-09,0.0009094120774357582,0.0009094120774357582,0.03736114501953125
