gguf_tensor,hf_tensor,layer,qtype,bits_per_weight,shape,vectors,vector_dim,chunks,improved_chunks,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
blk.0.attn_k.weight,model.layers.0.self_attn.k_proj.weight,0,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,1,1.9352226445334964e-05,1.9332948795636185e-05,1.9332948795636185e-05,1.9277649698778987e-08,1.9277649698778987e-08,0.0009961463479787902,0.0009961463479787902,1.4331252574920654
blk.0.attn_q.weight,model.layers.0.self_attn.q_proj.weight,0,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,1,9.717128705233335e-06,9.715455234982073e-06,9.715455234982073e-06,1.673470251262188e-09,1.673470251262188e-09,0.00017221859481607055,0.00017221859481607055,0.14803290367126465
blk.0.ffn_gate.weight,model.layers.0.mlp.gate_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,1.7221122107002884e-05,1.643814903218299e-05,1.643814903218299e-05,7.829730748198926e-07,7.829730748198926e-07,0.04546585698393606,0.04546585698393606,0.13242292404174805
blk.0.ffn_up.weight,model.layers.0.mlp.up_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,1.0659896361175925e-05,1.0059373380499892e-05,1.0059373380499892e-05,6.005229806760326e-07,6.005229806760326e-07,0.05633478603630506,0.05633478603630506,0.12629961967468262
blk.7.attn_k.weight,model.layers.7.self_attn.k_proj.weight,7,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,1,4.819513560505584e-05,4.753203029395081e-05,4.753203029395081e-05,6.631053111050278e-07,6.631053111050278e-07,0.013758760148305625,0.013758760148305625,0.11314010620117188
blk.7.attn_q.weight,model.layers.7.self_attn.q_proj.weight,7,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,1,5.550554851652123e-05,5.523919753613882e-05,5.523919753613882e-05,2.6635098038241267e-07,2.6635098038241267e-07,0.004798637028208689,0.004798637028208689,0.1204683780670166
blk.7.ffn_down.weight,model.layers.7.mlp.down_proj.weight,7,IQ3_S,3.44,"[2560, 9728]",8192,8,1,0,1.2431391951395199e-05,1.2431391951395199e-05,1.2431391951395199e-05,0.0,0.0,0.0,0.0,0.1339282989501953
blk.7.ffn_gate.weight,model.layers.7.mlp.gate_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,4.933166201226413e-05,4.897885810350999e-05,4.897885810350999e-05,3.5280390875414014e-07,3.5280390875414014e-07,0.007151672868155772,0.007151672868155772,0.1147608757019043
blk.7.ffn_up.weight,model.layers.7.mlp.up_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,3.8263064197963104e-05,3.815661330008879e-05,3.815661330008879e-05,1.0645089787431061e-07,1.0645089787431061e-07,0.002782079796943639,0.002782079796943639,0.10877561569213867
blk.14.attn_k.weight,model.layers.14.self_attn.k_proj.weight,14,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,1,5.664796844939701e-05,5.6445780501235276e-05,5.6445780501235276e-05,2.0218794816173613e-07,2.0218794816173613e-07,0.0035692003384437047,0.0035692003384437047,0.11295032501220703
blk.14.attn_q.weight,model.layers.14.self_attn.q_proj.weight,14,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,1,4.1844028601190075e-05,4.1792114643612877e-05,4.1792114643612877e-05,5.1913957577198744e-08,5.1913957577198744e-08,0.0012406539072034348,0.0012406539072034348,0.11989474296569824
