gguf_tensor,hf_tensor,layer,qtype,bits_per_weight,shape,vectors,vector_dim,chunks,improved_chunks,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
blk.0.attn_k.weight,model.layers.0.self_attn.k_proj.weight,0,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,0,1.9352226445334964e-05,2.3614276869921014e-05,1.9352226445334964e-05,-4.26205042458605e-06,0.0,-0.22023566314838455,0.0,1.31874418258667
blk.0.attn_q.weight,model.layers.0.self_attn.q_proj.weight,0,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,0,9.717128705233335e-06,1.2280363989702892e-05,9.717128705233335e-06,-2.563235284469556e-06,0.0,-0.26378525614146486,0.0,0.06963253021240234
blk.0.ffn_gate.weight,model.layers.0.mlp.gate_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,0,1.7221122107002884e-05,1.9689865439431742e-05,1.7221122107002884e-05,-2.4687433324288577e-06,0.0,-0.14335554426067018,0.0,0.041579484939575195
blk.0.ffn_up.weight,model.layers.0.mlp.up_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,0,1.0659896361175925e-05,1.2479888027883135e-05,1.0659896361175925e-05,-1.8199916667072102e-06,0.0,-0.17073258548138845,0.0,0.031998634338378906
blk.7.attn_k.weight,model.layers.7.self_attn.k_proj.weight,7,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,0,4.819513560505584e-05,5.358322960091755e-05,4.819513560505584e-05,-5.388093995861709e-06,0.0,-0.11179746520510836,0.0,0.025928020477294922
blk.7.attn_q.weight,model.layers.7.self_attn.q_proj.weight,7,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,0,5.550554851652123e-05,6.185442180139944e-05,5.550554851652123e-05,-6.348873284878209e-06,0.0,-0.11438267803062006,0.0,0.029617786407470703
blk.7.ffn_down.weight,model.layers.7.mlp.down_proj.weight,7,IQ3_S,3.44,"[2560, 9728]",8192,8,1,0,1.2431391951395199e-05,1.4816050679655746e-05,1.2431391951395199e-05,-2.384658728260547e-06,0.0,-0.19182556045084817,0.0,0.0328369140625
blk.7.ffn_gate.weight,model.layers.7.mlp.gate_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,0,4.933166201226413e-05,5.539040284929797e-05,4.933166201226413e-05,-6.058740837033838e-06,0.0,-0.12281647505668064,0.0,0.03336000442504883
blk.7.ffn_up.weight,model.layers.7.mlp.up_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,0,3.8263064197963104e-05,4.369024827610701e-05,3.8263064197963104e-05,-5.4271840781439096e-06,0.0,-0.14183872075861662,0.0,0.027326345443725586
blk.14.attn_k.weight,model.layers.14.self_attn.k_proj.weight,14,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,0,5.664796844939701e-05,6.315270729828626e-05,5.664796844939701e-05,-6.504738848889247e-06,0.0,-0.11482739852709556,0.0,0.0299835205078125
blk.14.attn_q.weight,model.layers.14.self_attn.q_proj.weight,14,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,0,4.1844028601190075e-05,4.707769039669074e-05,4.1844028601190075e-05,-5.233661795500666e-06,0.0,-0.12507547601073518,0.0,0.029776811599731445
blk.14.ffn_down.weight,model.layers.14.mlp.down_proj.weight,14,IQ3_S,3.44,"[2560, 9728]",8192,8,1,0,2.2900323529029265e-05,2.7192290872335434e-05,2.2900323529029265e-05,-4.291967343306169e-06,0.0,-0.18741950688449963,0.0,0.03732442855834961
blk.14.ffn_gate.weight,model.layers.14.mlp.gate_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",8192,8,1,0,6.359632970998064e-05,7.425046351272613e-05,6.359632970998064e-05,-1.0654133802745491e-05,0.0,-0.1675274949251271,0.0,0.03505253791809082
blk.14.ffn_up.weight,model.layers.14.mlp.up_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",8192,8,1,0,3.556433512130752e-05,4.162898403592408e-05,3.556433512130752e-05,-6.064648914616555e-06,0.0,-0.17052614350670275,0.0,0.03186392784118652
blk.35.attn_k.weight,model.layers.35.self_attn.k_proj.weight,35,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,0,1.598449125594925e-05,1.9767456251429394e-05,1.598449125594925e-05,-3.7829649954801425e-06,0.0,-0.23666471049381474,0.0,0.03915548324584961
blk.35.attn_q.weight,model.layers.35.self_attn.q_proj.weight,35,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,0,1.8372791600995697e-05,2.2403528419090435e-05,1.8372791600995697e-05,-4.030736818094738e-06,0.0,-0.21938619376035898,0.0,0.0370182991027832
blk.35.ffn_gate.weight,model.layers.35.mlp.gate_proj.weight,35,IQ3_S,3.44,"[9728, 2560]",8192,8,1,0,8.897535735741258e-06,1.087979217118118e-05,8.897535735741258e-06,-1.982256435439922e-06,0.0,-0.22278712829185163,0.0,0.040990352630615234
blk.35.ffn_up.weight,model.layers.35.mlp.up_proj.weight,35,IQ3_S,3.44,"[9728, 2560]",8192,8,1,0,9.02581996342633e-06,1.1310746231174562e-05,9.02581996342633e-06,-2.284926267748233e-06,0.0,-0.2531544255266579,0.0,0.04112958908081055
