gguf_tensor,hf_tensor,layer,qtype,bits_per_weight,shape,vectors,vector_dim,chunks,improved_chunks,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
blk.0.attn_k.weight,model.layers.0.self_attn.k_proj.weight,0,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,1,1.9352226445334964e-05,1.9313461962155998e-05,1.9313461962155998e-05,3.876448317896575e-08,3.876448317896575e-08,0.0020031019835606715,0.0020031019835606715,1.4148566722869873
blk.0.attn_q.weight,model.layers.0.self_attn.q_proj.weight,0,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,1,9.717128705233335e-06,9.716949534777086e-06,9.716949534777086e-06,1.7917045624926686e-10,1.7917045624926686e-10,1.8438621292807554e-05,1.8438621292807554e-05,0.08661437034606934
blk.0.ffn_gate.weight,model.layers.0.mlp.gate_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,1.7221122107002884e-05,1.6749032511143014e-05,1.6749032511143014e-05,4.720895958598703e-07,4.720895958598703e-07,0.0274134050572638,0.0274134050572638,0.11219930648803711
blk.0.ffn_up.weight,model.layers.0.mlp.up_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,1.0659896361175925e-05,1.0403658961877227e-05,1.0403658961877227e-05,2.562373992986977e-07,2.562373992986977e-07,0.02403751318182904,0.02403751318182904,0.02962183952331543
blk.7.attn_k.weight,model.layers.7.self_attn.k_proj.weight,7,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,1,4.819513560505584e-05,4.785183773492463e-05,4.785183773492463e-05,3.432978701312095e-07,3.432978701312095e-07,0.007123081319750376,0.007123081319750376,0.023303747177124023
blk.7.attn_q.weight,model.layers.7.self_attn.q_proj.weight,7,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,1,5.550554851652123e-05,5.520677223103121e-05,5.520677223103121e-05,2.987762854900211e-07,2.987762854900211e-07,0.005382818357359181,0.005382818357359181,0.02618122100830078
blk.7.ffn_down.weight,model.layers.7.mlp.down_proj.weight,7,IQ3_S,3.44,"[2560, 9728]",8192,8,1,0,1.2431391951395199e-05,1.2431391951395199e-05,1.2431391951395199e-05,0.0,0.0,0.0,0.0,0.02833843231201172
blk.7.ffn_gate.weight,model.layers.7.mlp.gate_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,4.933166201226413e-05,4.8780275392346084e-05,4.8780275392346084e-05,5.513866199180484e-07,5.513866199180484e-07,0.01117713446956177,0.01117713446956177,0.030944108963012695
blk.7.ffn_up.weight,model.layers.7.mlp.up_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,3.8263064197963104e-05,3.8129153836052865e-05,3.8129153836052865e-05,1.3391036191023886e-07,1.3391036191023886e-07,0.0034997291700795737,0.0034997291700795737,0.037529945373535156
blk.14.attn_k.weight,model.layers.14.self_attn.k_proj.weight,14,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,1,5.664796844939701e-05,5.640780000248924e-05,5.640780000248924e-05,2.401684469077736e-07,2.401684469077736e-07,0.004239665666427444,0.004239665666427444,0.03057408332824707
blk.14.attn_q.weight,model.layers.14.self_attn.q_proj.weight,14,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,1,4.1844028601190075e-05,4.182273551123217e-05,4.182273551123217e-05,2.1293089957907796e-08,2.1293089957907796e-08,0.0005088680671942329,0.0005088680671942329,0.03283405303955078
blk.14.ffn_down.weight,model.layers.14.mlp.down_proj.weight,14,IQ3_S,3.44,"[2560, 9728]",8192,8,1,0,2.2900323529029265e-05,2.2900323529029265e-05,2.2900323529029265e-05,0.0,0.0,0.0,0.0,0.03580975532531738
blk.14.ffn_gate.weight,model.layers.14.mlp.gate_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,6.359632970998064e-05,6.345423753373325e-05,6.345423753373325e-05,1.4209217624738812e-07,1.4209217624738812e-07,0.0022342826527155476,0.0022342826527155476,0.03441596031188965
blk.14.ffn_up.weight,model.layers.14.mlp.up_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",8192,8,1,0,3.556433512130752e-05,3.556433512130752e-05,3.556433512130752e-05,0.0,0.0,0.0,0.0,0.030888080596923828
blk.35.attn_k.weight,model.layers.35.self_attn.k_proj.weight,35,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,0,1.598449125594925e-05,1.598449125594925e-05,1.598449125594925e-05,0.0,0.0,0.0,0.0,0.0757594108581543
blk.35.attn_q.weight,model.layers.35.self_attn.q_proj.weight,35,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,1,1.8372791600995697e-05,1.8364453353569843e-05,1.8364453353569843e-05,8.338247425854206e-09,8.338247425854206e-09,0.0004538367171923031,0.0004538367171923031,0.039040565490722656
blk.35.ffn_gate.weight,model.layers.35.mlp.gate_proj.weight,35,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,8.897535735741258e-06,8.825731129036285e-06,8.825731129036285e-06,7.180460670497268e-08,7.180460670497268e-08,0.008070167834958475,0.008070167834958475,0.04251837730407715
blk.35.ffn_up.weight,model.layers.35.mlp.up_proj.weight,35,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,9.02581996342633e-06,9.024780410982203e-06,9.024780410982203e-06,1.039552444126457e-09,1.039552444126457e-09,0.00011517540216167,0.00011517540216167,0.09537911415100098
