gguf_tensor,hf_tensor,layer,qtype,bits_per_weight,shape,vectors,vector_dim,chunks,improved_chunks,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
blk.0.attn_k.weight,model.layers.0.self_attn.k_proj.weight,0,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,1,1.9352226445334964e-05,1.9314913515700027e-05,1.9314913515700027e-05,3.7312929634936154e-08,3.7312929634936154e-08,0.0019280949269757427,0.0019280949269757427,1.3595154285430908
blk.0.attn_q.weight,model.layers.0.self_attn.q_proj.weight,0,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,0,9.717128705233335e-06,9.717128705233335e-06,9.717128705233335e-06,0.0,0.0,0.0,0.0,0.035323143005371094
blk.0.ffn_gate.weight,model.layers.0.mlp.gate_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,1.7221122107002884e-05,1.664858791627921e-05,1.664858791627921e-05,5.725341907236725e-07,5.725341907236725e-07,0.033246044431149716,0.033246044431149716,0.030307769775390625
blk.0.ffn_up.weight,model.layers.0.mlp.up_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,1.0659896361175925e-05,1.0378471415606327e-05,1.0378471415606327e-05,2.814249455695972e-07,2.814249455695972e-07,0.026400345372452793,0.026400345372452793,0.0981440544128418
blk.7.attn_k.weight,model.layers.7.self_attn.k_proj.weight,7,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,1,4.819513560505584e-05,4.777649519382976e-05,4.777649519382976e-05,4.1864041122607887e-07,4.1864041122607887e-07,0.00868636234695358,0.00868636234695358,0.02364945411682129
blk.7.attn_q.weight,model.layers.7.self_attn.q_proj.weight,7,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,1,5.550554851652123e-05,5.5172327847685665e-05,5.5172327847685665e-05,3.3322066883556545e-07,3.3322066883556545e-07,0.0060033758379377565,0.0060033758379377565,0.0237734317779541
blk.7.ffn_down.weight,model.layers.7.mlp.down_proj.weight,7,IQ3_S,3.44,"[2560, 9728]",8192,8,1,0,1.2431391951395199e-05,1.2431391951395199e-05,1.2431391951395199e-05,0.0,0.0,0.0,0.0,0.03486227989196777
blk.7.ffn_gate.weight,model.layers.7.mlp.gate_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,4.933166201226413e-05,4.9025300540961325e-05,4.9025300540961325e-05,3.0636147130280733e-07,3.0636147130280733e-07,0.00621024021502953,0.00621024021502953,0.029788732528686523
blk.7.ffn_up.weight,model.layers.7.mlp.up_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,3.8263064197963104e-05,3.8129153836052865e-05,3.8129153836052865e-05,1.3391036191023886e-07,1.3391036191023886e-07,0.0034997291700795737,0.0034997291700795737,0.030208110809326172
blk.14.attn_k.weight,model.layers.14.self_attn.k_proj.weight,14,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,1,5.664796844939701e-05,5.6338842114200816e-05,5.6338842114200816e-05,3.0912633519619703e-07,3.0912633519619703e-07,0.005456971249945814,0.005456971249945814,0.02932453155517578
blk.14.attn_q.weight,model.layers.14.self_attn.q_proj.weight,14,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,1,4.1844028601190075e-05,4.177431401330978e-05,4.177431401330978e-05,6.97145878802985e-08,6.97145878802985e-08,0.0016660582217056356,0.0016660582217056356,0.03154134750366211
blk.14.ffn_down.weight,model.layers.14.mlp.down_proj.weight,14,IQ3_S,3.44,"[2560, 9728]",8192,8,1,0,2.2900323529029265e-05,2.2900323529029265e-05,2.2900323529029265e-05,0.0,0.0,0.0,0.0,0.03543448448181152
blk.14.ffn_gate.weight,model.layers.14.mlp.gate_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,6.359632970998064e-05,6.341336120385677e-05,6.341336120385677e-05,1.829685061238706e-07,1.829685061238706e-07,0.0028770293342126004,0.0028770293342126004,0.040693044662475586
blk.14.ffn_up.weight,model.layers.14.mlp.up_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,3.556433512130752e-05,3.5526718420442194e-05,3.5526718420442194e-05,3.761670086532831e-08,3.761670086532831e-08,0.0010577085368535728,0.0010577085368535728,0.02922534942626953
blk.35.attn_k.weight,model.layers.35.self_attn.k_proj.weight,35,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,1,1.598449125594925e-05,1.5981815522536635e-05,1.5981815522536635e-05,2.675733412615955e-09,2.675733412615955e-09,0.00016739559425265265,0.00016739559425265265,0.0355534553527832
blk.35.attn_q.weight,model.layers.35.self_attn.q_proj.weight,35,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,1,1.8372791600995697e-05,1.837002855609171e-05,1.837002855609171e-05,2.763044903986156e-09,2.763044903986156e-09,0.00015038786505565193,0.00015038786505565193,0.029793739318847656
blk.35.ffn_gate.weight,model.layers.35.mlp.gate_proj.weight,35,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,8.897535735741258e-06,8.803430318948813e-06,8.803430318948813e-06,9.410541679244488e-08,9.410541679244488e-08,0.010576570815492759,0.010576570815492759,0.0381162166595459
blk.35.ffn_up.weight,model.layers.35.mlp.up_proj.weight,35,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,9.02581996342633e-06,9.019044227898121e-06,9.019044227898121e-06,6.775735528208315e-09,6.775735528208315e-09,0.0007507058146145595,0.0007507058146145595,0.0346677303314209
