accepted_abs_delta,accepted_mse,accepted_rel_delta,candidate_count,chunks,device,elapsed_sec,elements,grad_clip,id,improved_chunks,initial_mse,log,lr,neighbor_candidates,optimizer_name,out,preset,raw_abs_delta,raw_best_mse,raw_rel_delta,restarts,result_dir,returncode,rotation_trick,scale_end,scale_start,stage,std,steps,strength,target_candidates,temp_end,temp_start,tensors,weight_decay
3.5841301521739283e-07,2.92810758663917e-05,0.012092415515295317,4,18,cuda:5,20.768654823303223,1179648,0.0,hard_lr05_steps50_c4,15,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/hard_lr05_steps50_c4/subprocess.log,0.5,2,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/hard_lr05_steps50_c4,tuned,3.5841301521739283e-07,2.92810758663917e-05,0.012092415515295317,1,runtime/gsvq_iquant_hparam/20260516-041814/search/hard_lr05_steps50_c4/20260516-042327_tuned,0,False,40.0,1.0,search,0.01,50,0.25,2,0.1,1.5,18,0.0
3.1181096144589887e-07,2.9327677920163194e-05,0.010520119381659561,4,18,cuda:7,19.705793142318726,1179648,0.0,cand_4_n2_t2,18,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/cand_4_n2_t2/subprocess.log,0.05,2,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/cand_4_n2_t2,tuned,3.1181096144589887e-07,2.9327677920163194e-05,0.010520119381659561,1,runtime/gsvq_iquant_hparam/20260516-041814/search/cand_4_n2_t2/20260516-041923_tuned,0,False,40.0,1.0,search,0.01,20,0.25,2,0.1,1.5,18,0.0
1.9414336646959035e-07,2.9445345515139503e-05,0.0065501590545326074,8,18,cuda:6,21.824029207229614,1179648,0.0,steps_100,16,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/steps_100/subprocess.log,0.05,4,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/steps_100,tuned,1.9414336646959035e-07,2.9445345515139503e-05,0.0065501590545326074,1,runtime/gsvq_iquant_hparam/20260516-041814/search/steps_100/20260516-041923_tuned,0,False,40.0,1.0,search,0.01,100,0.25,4,0.1,1.5,18,0.0
1.919231383201112e-07,2.9447565743288982e-05,0.006475251280031248,8,18,cuda:5,20.364606142044067,1179648,0.0,hard_lion_lr005_steps50,17,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/hard_lion_lr005_steps50/subprocess.log,0.005,4,lion,runtime/gsvq_iquant_hparam/20260516-041814/search/hard_lion_lr005_steps50,tuned,1.919231383201112e-07,2.9447565743288982e-05,0.006475251280031248,1,runtime/gsvq_iquant_hparam/20260516-041814/search/hard_lion_lr005_steps50/20260516-042429_tuned,0,False,40.0,1.0,search,0.01,50,0.25,4,0.1,1.5,18,0.0
1.9032449927181005e-07,2.9449164382337283e-05,0.006421315159381978,8,18,cuda:6,19.747074127197266,1179648,0.0,scale_0.5_20,16,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/scale_0.5_20/subprocess.log,0.05,4,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/scale_0.5_20,tuned,1.9032449927181005e-07,2.9449164382337283e-05,0.006421315159381978,1,runtime/gsvq_iquant_hparam/20260516-041814/search/scale_0.5_20/20260516-042146_tuned,0,False,20.0,0.5,search,0.01,20,0.25,4,0.1,1.5,18,0.0
1.8717769813115953e-07,2.9452311183477934e-05,0.006315145948663804,8,18,cuda:5,20.92736029624939,1179648,0.0,steps_50,16,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/steps_50/subprocess.log,0.05,4,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/steps_50,tuned,1.8717769813115953e-07,2.9452311183477934e-05,0.006315145948663804,1,runtime/gsvq_iquant_hparam/20260516-041814/search/steps_50/20260516-041923_tuned,0,False,40.0,1.0,search,0.01,50,0.25,4,0.1,1.5,18,0.0
1.8196108915920906e-07,2.9457527792449884e-05,0.006139143960478802,8,18,cuda:5,20.127460718154907,1179648,0.0,scale_0.1_10,15,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/scale_0.1_10/subprocess.log,0.05,4,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/scale_0.1_10,tuned,1.8196108915920906e-07,2.9457527792449884e-05,0.006139143960478802,1,runtime/gsvq_iquant_hparam/20260516-041814/search/scale_0.1_10/20260516-042145_tuned,0,False,10.0,0.1,search,0.01,20,0.25,4,0.1,1.5,18,0.0
1.7557653740772733e-07,2.9463912344201366e-05,0.00592373701547432,8,18,cuda:6,20.824819564819336,1179648,0.0,hard_restart3_lr01,16,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/hard_restart3_lr01/subprocess.log,0.1,4,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/hard_restart3_lr01,tuned,1.7557653740772733e-07,2.9463912344201366e-05,0.00592373701547432,3,runtime/gsvq_iquant_hparam/20260516-041814/search/hard_restart3_lr01/20260516-042429_tuned,0,False,40.0,1.0,search,0.01,20,0.25,4,0.1,1.5,18,0.0
1.709286152618006e-07,2.9468560266347293e-05,0.005766921823265971,8,18,cuda:3,20.377201080322266,1179648,0.0,temp_0.7_0.2,15,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/temp_0.7_0.2/subprocess.log,0.05,4,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/temp_0.7_0.2,tuned,1.709286152618006e-07,2.9468560266347293e-05,0.005766921823265971,1,runtime/gsvq_iquant_hparam/20260516-041814/search/temp_0.7_0.2/20260516-042143_tuned,0,False,40.0,1.0,search,0.01,20,0.25,4,0.2,0.7,18,0.0
1.6043072213910275e-07,2.947905815946999e-05,0.0054127357856919005,8,18,cuda:7,20.893736600875854,1179648,0.0,restart_3,16,2.9639488881609093e-05,runtime/gsvq_iquant_hparam/20260516-041814/search/restart_3/subprocess.log,0.05,4,adamw,runtime/gsvq_iquant_hparam/20260516-041814/search/restart_3,tuned,1.6043072213910275e-07,2.947905815946999e-05,0.0054127357856919005,3,runtime/gsvq_iquant_hparam/20260516-041814/search/restart_3/20260516-042244_tuned,0,False,40.0,1.0,search,0.01,20,0.25,4,0.1,1.5,18,0.0
