gguf_tensor,hf_tensor,layer,qtype,bits_per_weight,shape,vectors,vector_dim,chunks,improved_chunks,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
blk.0.attn_k.weight,model.layers.0.self_attn.k_proj.weight,0,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,1,1.9352226445334964e-05,1.9335770048201084e-05,1.9335770048201084e-05,1.6456397133879364e-08,1.6456397133879364e-08,0.0008503619560449249,0.0008503619560449249,1.6234073638916016
blk.0.attn_q.weight,model.layers.0.self_attn.q_proj.weight,0,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,0,9.717128705233335e-06,9.717128705233335e-06,9.717128705233335e-06,0.0,0.0,0.0,0.0,0.14106416702270508
blk.0.ffn_gate.weight,model.layers.0.mlp.gate_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,1.7221122107002884e-05,1.6885021977941506e-05,1.6885021977941506e-05,3.3610012906137854e-07,3.3610012906137854e-07,0.019516738048370556,0.019516738048370556,0.0735023021697998
blk.0.ffn_up.weight,model.layers.0.mlp.up_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,1.0659896361175925e-05,1.0409519745735452e-05,1.0409519745735452e-05,2.5037661544047296e-07,2.5037661544047296e-07,0.023487715729804074,0.023487715729804074,0.06241273880004883
blk.7.attn_k.weight,model.layers.7.self_attn.k_proj.weight,7,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,1,4.819513560505584e-05,4.785047713085078e-05,4.785047713085078e-05,3.446584742050618e-07,3.446584742050618e-07,0.007151312469155205,0.007151312469155205,0.05301976203918457
blk.7.attn_q.weight,model.layers.7.self_attn.q_proj.weight,7,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,1,5.550554851652123e-05,5.526848690351471e-05,5.526848690351471e-05,2.370616130065173e-07,2.370616130065173e-07,0.004270953433348305,0.004270953433348305,0.054720163345336914
blk.7.ffn_down.weight,model.layers.7.mlp.down_proj.weight,7,IQ3_S,3.44,"[2560, 9728]",8192,8,1,0,1.2431391951395199e-05,1.2431391951395199e-05,1.2431391951395199e-05,0.0,0.0,0.0,0.0,0.06368041038513184
blk.7.ffn_gate.weight,model.layers.7.mlp.gate_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,0,4.933166201226413e-05,4.933166201226413e-05,4.933166201226413e-05,0.0,0.0,0.0,0.0,0.05270743370056152
blk.7.ffn_up.weight,model.layers.7.mlp.up_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,0,3.8263064197963104e-05,3.8263064197963104e-05,3.8263064197963104e-05,0.0,0.0,0.0,0.0,0.05171537399291992
blk.14.attn_k.weight,model.layers.14.self_attn.k_proj.weight,14,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,1,5.664796844939701e-05,5.660175156663172e-05,5.660175156663172e-05,4.621688276529312e-08,4.621688276529312e-08,0.0008158612573472628,0.0008158612573472628,0.05232119560241699
blk.14.attn_q.weight,model.layers.14.self_attn.q_proj.weight,14,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,1,4.1844028601190075e-05,4.1811355913523585e-05,4.1811355913523585e-05,3.2672687666490674e-08,3.2672687666490674e-08,0.0007808207947157707,0.0007808207947157707,0.063995361328125
blk.14.ffn_down.weight,model.layers.14.mlp.down_proj.weight,14,IQ3_S,3.44,"[2560, 9728]",8192,8,1,1,2.2900323529029265e-05,2.288190444232896e-05,2.288190444232896e-05,1.8419086700305343e-08,1.8419086700305343e-08,0.0008043155668502523,0.0008043155668502523,0.08000850677490234
blk.14.ffn_gate.weight,model.layers.14.mlp.gate_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",8192,8,1,0,6.359632970998064e-05,6.359632970998064e-05,6.359632970998064e-05,0.0,0.0,0.0,0.0,0.06441497802734375
blk.14.ffn_up.weight,model.layers.14.mlp.up_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",8192,8,1,0,3.556433512130752e-05,3.556433512130752e-05,3.556433512130752e-05,0.0,0.0,0.0,0.0,0.06364607810974121
blk.35.attn_k.weight,model.layers.35.self_attn.k_proj.weight,35,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,0,1.598449125594925e-05,1.598449125594925e-05,1.598449125594925e-05,0.0,0.0,0.0,0.0,0.08043551445007324
blk.35.attn_q.weight,model.layers.35.self_attn.q_proj.weight,35,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,1,1.8372791600995697e-05,1.8366172298556194e-05,1.8366172298556194e-05,6.619302439503372e-09,6.619302439503372e-09,0.00036027744630514637,0.00036027744630514637,0.0805509090423584
blk.35.ffn_gate.weight,model.layers.35.mlp.gate_proj.weight,35,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,8.897535735741258e-06,8.824052201816812e-06,8.824052201816812e-06,7.348353392444551e-08,7.348353392444551e-08,0.008258863589528879,0.008258863589528879,0.08258914947509766
blk.35.ffn_up.weight,model.layers.35.mlp.up_proj.weight,35,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,9.02581996342633e-06,8.971168426796794e-06,8.971168426796794e-06,5.465153662953526e-08,5.465153662953526e-08,0.006055021798683071,0.006055021798683071,0.08121776580810547
