gguf_tensor,hf_tensor,layer,qtype,bits_per_weight,shape,vectors,vector_dim,chunks,improved_chunks,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
blk.0.attn_k.weight,model.layers.0.self_attn.k_proj.weight,0,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,1,1.9352226445334964e-05,1.9329430870129727e-05,1.9329430870129727e-05,2.2795575205236673e-08,2.2795575205236673e-08,0.0011779303673212114,0.0011779303673212114,1.4073681831359863
blk.0.attn_q.weight,model.layers.0.self_attn.q_proj.weight,0,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,1,9.717128705233335e-06,9.715455234982073e-06,9.715455234982073e-06,1.673470251262188e-09,1.673470251262188e-09,0.00017221859481607055,0.00017221859481607055,0.11958074569702148
blk.0.ffn_gate.weight,model.layers.0.mlp.gate_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,1.7221122107002884e-05,1.66417594300583e-05,1.66417594300583e-05,5.793626769445837e-07,5.793626769445837e-07,0.03364256250810676,0.03364256250810676,0.13929438591003418
blk.0.ffn_up.weight,model.layers.0.mlp.up_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,1.0659896361175925e-05,1.0145551641471684e-05,1.0145551641471684e-05,5.143447197042406e-07,5.143447197042406e-07,0.04825044280707263,0.04825044280707263,0.08011746406555176
blk.7.attn_k.weight,model.layers.7.self_attn.k_proj.weight,7,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,1,4.819513560505584e-05,4.7488894779235125e-05,4.7488894779235125e-05,7.062408258207142e-07,7.062408258207142e-07,0.014653778165666726,0.014653778165666726,0.0536494255065918
blk.7.attn_q.weight,model.layers.7.self_attn.q_proj.weight,7,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,1,5.550554851652123e-05,5.5086151405703276e-05,5.5086151405703276e-05,4.1939711081795394e-07,4.1939711081795394e-07,0.00755594930645754,0.00755594930645754,0.05234885215759277
blk.7.ffn_down.weight,model.layers.7.mlp.down_proj.weight,7,IQ3_S,3.44,"[2560, 9728]",8192,8,1,0,1.2431391951395199e-05,1.2431391951395199e-05,1.2431391951395199e-05,0.0,0.0,0.0,0.0,0.06466245651245117
blk.7.ffn_gate.weight,model.layers.7.mlp.gate_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,4.933166201226413e-05,4.878130494034849e-05,4.878130494034849e-05,5.503570719156414e-07,5.503570719156414e-07,0.011156264546262794,0.011156264546262794,0.05934333801269531
blk.7.ffn_up.weight,model.layers.7.mlp.up_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,3.8263064197963104e-05,3.8159112591529265e-05,3.8159112591529265e-05,1.039516064338386e-07,1.039516064338386e-07,0.0027167611536812663,0.0027167611536812663,0.060033321380615234
blk.14.attn_k.weight,model.layers.14.self_attn.k_proj.weight,14,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,1,5.664796844939701e-05,5.637640060740523e-05,5.637640060740523e-05,2.715678419917822e-07,2.715678419917822e-07,0.004793955536717449,0.004793955536717449,0.06123542785644531
blk.14.attn_q.weight,model.layers.14.self_attn.q_proj.weight,14,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,1,4.1844028601190075e-05,4.176579386694357e-05,4.176579386694357e-05,7.823473424650729e-08,7.823473424650729e-08,0.0018696750017105721,0.0018696750017105721,0.06130790710449219
blk.14.ffn_down.weight,model.layers.14.mlp.down_proj.weight,14,IQ3_S,3.44,"[2560, 9728]",8192,8,1,1,2.2900323529029265e-05,2.276518898725044e-05,2.276518898725044e-05,1.3513454177882522e-07,1.3513454177882522e-07,0.005900988324794795,0.005900988324794795,0.07762646675109863
blk.14.ffn_gate.weight,model.layers.14.mlp.gate_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",8192,8,1,0,6.359632970998064e-05,6.359632970998064e-05,6.359632970998064e-05,0.0,0.0,0.0,0.0,0.06822943687438965
blk.14.ffn_up.weight,model.layers.14.mlp.up_proj.weight,14,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,3.556433512130752e-05,3.5547120205592364e-05,3.5547120205592364e-05,1.7214915715157986e-08,1.7214915715157986e-08,0.00048404998030861766,0.00048404998030861766,0.07005453109741211
blk.35.attn_k.weight,model.layers.35.self_attn.k_proj.weight,35,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,1,1.598449125594925e-05,1.598230483068619e-05,1.598230483068619e-05,2.1864252630621195e-09,2.1864252630621195e-09,0.00013678416335260944,0.00013678416335260944,0.08434033393859863
blk.35.attn_q.weight,model.layers.35.self_attn.q_proj.weight,35,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,1,1.8372791600995697e-05,1.8372478734818287e-05,1.8372478734818287e-05,3.128661774098873e-10,3.128661774098873e-10,1.7028777346657096e-05,1.7028777346657096e-05,0.07970809936523438
blk.35.ffn_gate.weight,model.layers.35.mlp.gate_proj.weight,35,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,8.897535735741258e-06,8.762836841924582e-06,8.762836841924582e-06,1.34698893816676e-07,1.34698893816676e-07,0.015138898883608042,0.015138898883608042,0.08753705024719238
blk.35.ffn_up.weight,model.layers.35.mlp.up_proj.weight,35,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,9.02581996342633e-06,8.99152655620128e-06,8.99152655620128e-06,3.429340722505003e-08,3.429340722505003e-08,0.0037994783148800775,0.0037994783148800775,0.08527183532714844
