gguf_tensor,hf_tensor,layer,qtype,bits_per_weight,shape,vectors,vector_dim,chunks,improved_chunks,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
blk.0.attn_k.weight,model.layers.0.self_attn.k_proj.weight,0,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,1,1.9352226445334964e-05,1.914514541567769e-05,1.914514541567769e-05,2.0708102965727448e-07,2.0708102965727448e-07,0.010700630764228853,0.010700630764228853,1.8699028491973877
blk.0.attn_q.weight,model.layers.0.self_attn.q_proj.weight,0,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,1,9.717128705233335e-06,9.653852430346888e-06,9.653852430346888e-06,6.327627488644794e-08,6.327627488644794e-08,0.006511828422357867,0.006511828422357867,0.084808349609375
blk.0.ffn_gate.weight,model.layers.0.mlp.gate_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,1.7221122107002884e-05,1.5715788322268054e-05,1.5715788322268054e-05,1.5053337847348303e-06,1.5053337847348303e-06,0.08741206150107336,0.08741206150107336,0.1252577304840088
blk.0.ffn_up.weight,model.layers.0.mlp.up_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,1.0659896361175925e-05,9.705709999252576e-06,9.705709999252576e-06,9.541863619233482e-07,9.541863619233482e-07,0.08951178600559012,0.08951178600559012,0.11545228958129883
blk.7.attn_k.weight,model.layers.7.self_attn.k_proj.weight,7,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,1,4.819513560505584e-05,4.729185457108542e-05,4.729185457108542e-05,9.032810339704156e-07,9.032810339704156e-07,0.018742161893111432,0.018742161893111432,0.05199027061462402
blk.7.attn_q.weight,model.layers.7.self_attn.q_proj.weight,7,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,1,5.550554851652123e-05,5.462552508106455e-05,5.462552508106455e-05,8.800234354566783e-07,8.800234354566783e-07,0.015854693070815058,0.015854693070815058,0.05587887763977051
blk.7.ffn_down.weight,model.layers.7.mlp.down_proj.weight,7,IQ3_S,3.44,"[2560, 9728]",8192,8,1,1,1.2431391951395199e-05,1.202666862809565e-05,1.202666862809565e-05,4.047233232995495e-07,4.047233232995495e-07,0.032556557212736474,0.032556557212736474,0.08455777168273926
blk.7.ffn_gate.weight,model.layers.7.mlp.gate_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,4.933166201226413e-05,4.8508140025660396e-05,4.8508140025660396e-05,8.235219866037369e-07,8.235219866037369e-07,0.016693578789196372,0.016693578789196372,0.06412005424499512
blk.7.ffn_up.weight,model.layers.7.mlp.up_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,3.8263064197963104e-05,3.803192885243334e-05,3.803192885243334e-05,2.311353455297649e-07,2.311353455297649e-07,0.0060406909476442075,0.0060406909476442075,0.06493782997131348
blk.14.attn_k.weight,model.layers.14.self_attn.k_proj.weight,14,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,1,5.664796844939701e-05,5.609079744317569e-05,5.609079744317569e-05,5.571710062213242e-07,5.571710062213242e-07,0.00983567498486797,0.00983567498486797,0.0638115406036377
blk.14.attn_q.weight,model.layers.14.self_attn.q_proj.weight,14,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,1,4.1844028601190075e-05,4.145772982155904e-05,4.145772982155904e-05,3.8629877963103354e-07,3.8629877963103354e-07,0.009231873520420233,0.009231873520420233,0.07045412063598633
