gguf_tensor,hf_tensor,layer,qtype,bits_per_weight,shape,vectors,vector_dim,chunks,improved_chunks,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
blk.0.attn_k.weight,model.layers.0.self_attn.k_proj.weight,0,IQ3_XXS,3.0625,"[1024, 2560]",8192,8,1,1,1.9352226445334964e-05,1.9090475689154118e-05,1.9090475689154118e-05,2.617507561808452e-07,2.617507561808452e-07,0.013525614580845434,0.013525614580845434,1.6654181480407715
blk.0.attn_q.weight,model.layers.0.self_attn.q_proj.weight,0,IQ3_XXS,3.0625,"[4096, 2560]",8192,8,1,1,9.717128705233335e-06,9.638431947678328e-06,9.638431947678328e-06,7.869675755500793e-08,7.869675755500793e-08,0.008098766615350517,0.008098766615350517,0.03092789649963379
blk.0.ffn_gate.weight,model.layers.0.mlp.gate_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,1.7221122107002884e-05,1.5435900422744453e-05,1.5435900422744453e-05,1.7852216842584312e-06,1.7852216842584312e-06,0.10366465513489853,0.10366465513489853,0.031955718994140625
blk.0.ffn_up.weight,model.layers.0.mlp.up_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",8192,8,1,1,1.0659896361175925e-05,9.589994078851305e-06,9.589994078851305e-06,1.0699022823246196e-06,1.0699022823246196e-06,0.10036704355037421,0.10036704355037421,0.03964495658874512
blk.7.attn_k.weight,model.layers.7.self_attn.k_proj.weight,7,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,1,4.819513560505584e-05,4.630918556358665e-05,4.630918556358665e-05,1.8859500414691865e-06,1.8859500414691865e-06,0.03913154341807358,0.03913154341807358,0.03880047798156738
blk.7.attn_q.weight,model.layers.7.self_attn.q_proj.weight,7,IQ2_XS,2.3125,"[4096, 2560]",8192,8,1,1,5.550554851652123e-05,5.377760680858046e-05,5.377760680858046e-05,1.7279417079407722e-06,1.7279417079407722e-06,0.031130972562615974,0.031130972562615974,0.02716517448425293
blk.7.ffn_down.weight,model.layers.7.mlp.down_proj.weight,7,IQ3_S,3.44,"[2560, 9728]",8192,8,1,1,1.2431391951395199e-05,1.1848170288430993e-05,1.1848170288430993e-05,5.832216629642062e-07,5.832216629642062e-07,0.046915234049775906,0.046915234049775906,0.0357363224029541
blk.7.ffn_gate.weight,model.layers.7.mlp.gate_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,4.933166201226413e-05,4.765546691487543e-05,4.765546691487543e-05,1.6761950973886997e-06,1.6761950973886997e-06,0.033978078763533,0.033978078763533,0.024491310119628906
blk.7.ffn_up.weight,model.layers.7.mlp.up_proj.weight,7,IQ2_S,2.5,"[9728, 2560]",8192,8,1,1,3.8263064197963104e-05,3.7436893762787804e-05,3.7436893762787804e-05,8.261704351752996e-07,8.261704351752996e-07,0.021591852416756523,0.021591852416756523,0.026708602905273438
blk.14.attn_k.weight,model.layers.14.self_attn.k_proj.weight,14,IQ2_XS,2.3125,"[1024, 2560]",8192,8,1,1,5.664796844939701e-05,5.561923171626404e-05,5.561923171626404e-05,1.0287367331329733e-06,1.0287367331329733e-06,0.018160169928281403,0.018160169928281403,0.031992435455322266
