gguf_tensor,hf_tensor,layer,qtype,bits_per_weight,shape,vectors,vector_dim,chunks,improved_chunks,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
blk.0.attn_k.weight,model.layers.0.self_attn.k_proj.weight,0,IQ3_XXS,3.0625,"[1024, 2560]",327680,8,3,3,2.0576000679284334e-05,2.0220279111526906e-05,2.0220279111526906e-05,3.557215677574277e-07,3.557215677574277e-07,0.017288178266613483,0.017288178266613483,3.7118606567382812
blk.0.attn_q.weight,model.layers.0.self_attn.q_proj.weight,0,IQ3_XXS,3.0625,"[4096, 2560]",1310720,8,10,10,1.8495927270123504e-05,1.817384518290055e-05,1.817384518290055e-05,3.220820872229524e-07,3.220820872229524e-07,0.0174136761309184,0.0174136761309184,7.55456280708313
blk.0.ffn_gate.weight,model.layers.0.mlp.gate_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,24,1.1016382833124801e-05,1.0218234427539803e-05,1.0218234427539803e-05,7.981484055849976e-07,7.981484055849976e-07,0.07245104111533518,0.07245104111533518,18.030266523361206
blk.0.ffn_up.weight,model.layers.0.mlp.up_proj.weight,0,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,24,9.536526713897107e-06,8.877274070216932e-06,8.877274070216932e-06,6.592526436801751e-07,6.592526436801751e-07,0.06912921899746571,0.06912921899746571,16.729438304901123
blk.1.attn_k.weight,model.layers.1.self_attn.k_proj.weight,1,IQ3_XXS,3.0625,"[1024, 2560]",327680,8,3,3,1.8769551388686523e-05,1.7789257981348783e-05,1.7789257981348783e-05,9.8029340733774e-07,9.8029340733774e-07,0.05222785494642236,0.05222785494642236,2.0659162998199463
blk.1.attn_q.weight,model.layers.1.self_attn.q_proj.weight,1,IQ3_XXS,3.0625,"[4096, 2560]",1310720,8,10,10,1.7223702343471814e-05,1.6331325150531482e-05,1.6331325150531482e-05,8.923771929403315e-07,8.923771929403315e-07,0.05181099714479003,0.05181099714479003,6.960494041442871
blk.1.ffn_gate.weight,model.layers.1.mlp.gate_proj.weight,1,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,24,1.0586459872061631e-05,9.712765191388347e-06,9.712765191388347e-06,8.736946806732844e-07,8.736946806732844e-07,0.08252944716477154,0.08252944716477154,17.054597854614258
blk.1.ffn_up.weight,model.layers.1.mlp.up_proj.weight,1,IQ3_S,3.44,"[9728, 2560]",3112960,8,24,24,4.813292630582342e-06,4.534755087460876e-06,4.534755087460876e-06,2.785375431214657e-07,2.785375431214657e-07,0.05786839997047229,0.05786839997047229,17.786106824874878
blk.6.attn_k.weight,model.layers.6.self_attn.k_proj.weight,6,IQ3_XXS,3.0625,"[1024, 2560]",327680,8,3,3,1.8646409444045275e-05,1.7888183720060624e-05,1.7888183720060624e-05,7.582257239846513e-07,7.582257239846513e-07,0.04066336343519424,0.04066336343519424,2.039858102798462
blk.6.attn_q.weight,model.layers.6.self_attn.q_proj.weight,6,IQ3_XXS,3.0625,"[4096, 2560]",1310720,8,10,10,1.9594475816120394e-05,1.8872135660785717e-05,1.8872135660785717e-05,7.223401553346762e-07,7.223401553346762e-07,0.03686447966831582,0.03686447966831582,7.144982814788818
