layer,tensors,elements,initial_mse,raw_best_mse,accepted_mse,raw_abs_delta,accepted_abs_delta,raw_rel_delta,accepted_rel_delta,elapsed_sec
0,4,62914560,1.2075514602353602e-05,1.1941708563275217e-05,1.1941708563275217e-05,1.3380603907838515e-07,1.3380603907838515e-07,0.011080773241109362,0.011080773241109362,8.442876100540161
1,4,62914560,9.74841706407048e-06,9.485977431022974e-06,9.485977431022974e-06,2.6243963304750617e-07,2.6243963304750617e-07,0.026921256171401814,0.026921256171401814,6.794216632843018
6,4,62914560,1.3683765174240154e-05,1.3512040656375272e-05,1.3512040656375272e-05,1.7172451786488277e-07,1.7172451786488277e-07,0.012549507805655431,0.012549507805655431,6.701535224914551
7,5,87818240,3.290038464965347e-05,3.242183139711903e-05,3.242183139711903e-05,4.785532525344407e-07,4.785532525344407e-07,0.014545521507739611,0.014545521507739611,8.889968395233154
14,5,87818240,3.1084402412964106e-05,3.076665500735381e-05,3.076665500735381e-05,3.177474056102926e-07,3.177474056102926e-07,0.010222085063400556,0.010222085063400556,8.640522718429565
15,5,87818240,3.0390211542175194e-05,3.0057393573159388e-05,3.0057393573159388e-05,3.3281796901580635e-07,3.3281796901580635e-07,0.010951485762247009,0.010951485762247009,8.767146825790405
16,4,62914560,1.2284830700082238e-05,1.217345465723459e-05,1.217345465723459e-05,1.113760428476475e-07,1.113760428476475e-07,0.009066143894592045,0.009066143894592045,6.961299896240234
17,5,87818240,3.0214784012276876e-05,2.989959197184905e-05,2.989959197184905e-05,3.151920404278269e-07,3.151920404278269e-07,0.01043171582162421,0.01043171582162421,8.849748373031616
18,5,87818240,2.9663165392477495e-05,2.9364448308305286e-05,2.9364448308305286e-05,2.9871708417220934e-07,2.9871708417220934e-07,0.010070303698875079,0.010070303698875079,8.798151731491089
35,4,62914560,1.363365642343221e-05,1.3510541775000699e-05,1.3510541775000699e-05,1.231146484315111e-07,1.231146484315111e-07,0.009030200307814238,0.009030200307814238,6.814631223678589
